CustomerID,ActivityMonth,CohortMonth,CohortIndex
C1044,2024-10,2024-07,3
C1044,2024-11,2024-07,4
C1044,2024-12,2024-07,5
C1045,2024-06,2024-06,0
C1045,2024-07,2024-06,1
C1045,2024-08,2024-06,2
C1045,2024-09,2024-06,3
C1045,2024-10,2024-06,4
C1045,2024-11,2024-06,5
C1045,2024-12,2024-06,6
C1046,2023-09,2023-09,0
C1046,2023-10,2023-09,1
C1046,2023-11,2023-09,2
C1046,2023-12,2023-09,3
C1046,2024-01,2023-09,4
C1046,2024-02,2023-09,5
C1046,2024-03,2023-09,6
C1046,2024-04,2023-09,7
C1046,2024-05,2023-09,8
C1046,2024-06,2023-09,9
C1046,2024-07,2023-09,10
C1046,2024-08,2023-09,11
C1046,2024-09,2023-09,12
C1046,2024-10,2023-09,13
C1046,2024-11,2023-09,14
C1046,2024-12,2023-09,15
C1047,2024-06,2024-06,0
C1047,2024-07,2024-06,1
C1047,2024-08,2024-06,2
C1047,2024-09,2024-06,3
C1047,2024-10,2024-06,4
C1047,2024-11,2024-06,5
C1047,2024-12,2024-06,6
C1048,2023-07,2023-07,0
C1048,2023-08,2023-07,1
C1048,2023-09,2023-07,2
C1048,2023-10,2023-07,3
C1048,2023-11,2023-07,4
C1048,2023-12,2023-07,5
C1048,2024-01,2023-07,6
C1048,2024-02,2023-07,7
C1048,2024-03,2023-07,8
C1048,2024-04,2023-07,9
C1048,2024-05,2023-07,10
C1048,2024-06,2023-07,11
C1048,2024-07,2023-07,12
C1048,2024-08,2023-07,13
C1048,2024-09,2023-07,14
C1048,2024-10,2023-07,15
C1048,2024-11,2023-07,16
C1048,2024-12,2023-07,17
C1049,2024-10,2024-10,0
C1049,2024-11,2024-10,1
C1049,2024-12,2024-10,2
C1050,2023-07,2023-07,0
C1050,2023-08,2023-07,1
C1050,2023-09,2023-07,2
C1050,2023-10,2023-07,3
C1050,2023-11,2023-07,4
C1050,2023-12,2023-07,5
C1050,2024-02,2023-07,7
C1050,2024-03,2023-07,8
C1050,2024-04,2023-07,9
C1050,2024-05,2023-07,10
C1050,2024-06,2023-07,11
C1051,2024-08,2024-08,0
C1051,2024-09,2024-08,1
C1051,2024-10,2024-08,2
C1051,2024-11,2024-08,3
C1051,2024-12,2024-08,4
C1052,2024-05,2024-05,0
C1052,2024-06,2024-05,1
C1052,2024-07,2024-05,2
C1052,2024-08,2024-05,3
C1052,2024-09,2024-05,4
C1052,2024-10,2024-05,5
C1052,2024-11,2024-05,6
C1052,2024-12,2024-05,7
C1053,2023-05,2023-05,0
C1053,2023-06,2023-05,1
C1053,2023-07,2023-05,2
C1053,2023-08,2023-05,3
C1053,2023-09,2023-05,4
C1053,2023-10,2023-05,5
C1053,2023-11,2023-05,6
C1053,2023-12,2023-05,7
C1053,2024-01,2023-05,8
C1053,2024-02,2023-05,9
C1053,2024-03,2023-05,10
C1053,2024-04,2023-05,11
C1053,2024-05,2023-05,12
C1053,2024-06,2023-05,13
C1053,2024-07,2023-05,14
C1054,2024-11,2024-11,0
C1054,2024-12,2024-11,1
C1055,2023-03,2023-03,0
C1055,2023-04,2023-03,1
C1055,2023-05,2023-03,2
C1055,2023-06,2023-03,3
C1055,2023-07,2023-03,4
C1055,2023-08,2023-03,5
C1055,2023-09,2023-03,6
C1055,2023-10,2023-03,7
C1055,2023-11,2023-03,8
C1055,2023-12,2023-03,9
C1055,2024-01,2023-03,10
C1055,2024-02,2023-03,11
C1055,2024-03,2023-03,12
C1055,2024-04,2023-03,13
C1055,2024-05,2023-03,14
C1055,2024-06,2023-03,15
C1055,2024-07,2023-03,16
C1055,2024-08,2023-03,17
C1056,2024-07,2024-07,0
C1056,2024-08,2024-07,1
C1056,2024-09,2024-07,2
C1056,2024-10,2024-07,3
C1056,2024-11,2024-07,4
C1056,2024-12,2024-07,5
C1057,2023-11,2023-11,0
C1057,2023-12,2023-11,1
C1057,2024-01,2023-11,2
C1057,2024-02,2023-11,3
C1057,2024-03,2023-11,4
C1057,2024-04,2023-11,5
C1057,2024-05,2023-11,6
C1057,2024-06,2023-11,7
C1057,2024-07,2023-11,8
C1057,2024-08,2023-11,9
C1057,2024-09,2023-11,10
C1057,2024-10,2023-11,11
C1057,2024-11,2023-11,12
C1057,2024-12,2023-11,13
C1058,2024-08,2024-08,0
C1058,2024-09,2024-08,1
C1058,2024-10,2024-08,2
C1058,2024-11,2024-08,3
C1058,2024-12,2024-08,4
C1059,2024-07,2024-07,0
C1059,2024-08,2024-07,1
C1059,2024-09,2024-07,2
C1059,2024-10,2024-07,3
C1059,2024-11,2024-07,4
C1059,2024-12,2024-07,5
C1060,2023-07,2023-07,0
C1060,2023-08,2023-07,1
C1060,2023-09,2023-07,2
C1060,2023-10,2023-07,3
C1060,2023-11,2023-07,4
C1060,2023-12,2023-07,5
C1060,2024-01,2023-07,6
C1060,2024-02,2023-07,7
C1060,2024-03,2023-07,8
C1060,2024-04,2023-07,9
C1060,2024-05,2023-07,10
C1060,2024-06,2023-07,11
C1060,2024-07,2023-07,12
C1060,2024-08,2023-07,13
C1060,2024-09,2023-07,14
C1060,2024-10,2023-07,15
C1060,2024-11,2023-07,16
C1060,2024-12,2023-07,17
C1061,2023-06,2023-06,0
C1061,2023-07,2023-06,1
C1061,2023-08,2023-06,2
C1061,2023-09,2023-06,3
C1061,2023-10,2023-06,4
C1061,2023-11,2023-06,5
C1061,2023-12,2023-06,6
C1061,2024-01,2023-06,7
C1061,2024-02,2023-06,8
C1061,2024-03,2023-06,9
C1061,2024-04,2023-06,10
C1061,2024-05,2023-06,11
C1061,2024-06,2023-06,12
C1061,2024-07,2023-06,13
C1061,2024-08,2023-06,14
C1061,2024-09,2023-06,15
C1061,2024-10,2023-06,16
C1061,2024-11,2023-06,17
C1061,2024-12,2023-06,18
C1062,2023-06,2023-06,0
C1062,2023-07,2023-06,1
C1062,2023-08,2023-06,2
C1063,2023-06,2023-06,0
C1063,2023-07,2023-06,1
C1063,2023-08,2023-06,2
C1063,2023-09,2023-06,3
C1063,2023-10,2023-06,4
C1063,2023-11,2023-06,5
C1063,2023-12,2023-06,6
C1063,2024-01,2023-06,7
C1063,2024-02,2023-06,8
C1063,2024-03,2023-06,9
C1064,2024-03,2024-03,0
C1064,2024-04,2024-03,1
C1064,2024-05,2024-03,2
C1064,2024-06,2024-03,3
C1064,2024-07,2024-03,4
C1064,2024-08,2024-03,5
C1064,2024-09,2024-03,6
C1064,2024-10,2024-03,7
C1064,2024-11,2024-03,8
C1064,2024-12,2024-03,9
C1065,2023-10,2023-10,0
C1065,2023-11,2023-10,1
C1065,2023-12,2023-10,2
C1065,2024-01,2023-10,3
C1065,2024-02,2023-10,4
C1065,2024-03,2023-10,5
C1065,2024-04,2023-10,6
C1065,2024-05,2023-10,7
C1065,2024-06,2023-10,8
C1065,2024-07,2023-10,9
C1065,2024-08,2023-10,10
C1065,2024-09,2023-10,11
C1065,2024-10,2023-10,12
C1065,2024-11,2023-10,13
C1065,2024-12,2023-10,14
C1066,2024-07,2024-07,0
C1066,2024-08,2024-07,1
C1066,2024-09,2024-07,2
C1066,2024-10,2024-07,3
C1066,2024-11,2024-07,4
C1066,2024-12,2024-07,5
C1067,2024-02,2024-02,0
C1067,2024-03,2024-02,1
C1067,2024-04,2024-02,2
C1067,2024-05,2024-02,3
C1067,2024-06,2024-02,4
C1067,2024-07,2024-02,5
C1067,2024-08,2024-02,6
C1067,2024-09,2024-02,7
C1067,2024-10,2024-02,8
C1067,2024-11,2024-02,9
C1067,2024-12,2024-02,10
C1068,2024-11,2024-11,0
C1068,2024-12,2024-11,1
C1069,2023-08,2023-08,0
C1069,2023-09,2023-08,1
C1069,2023-10,2023-08,2
C1069,2023-11,2023-08,3
C1069,2023-12,2023-08,4
C1069,2024-01,2023-08,5
C1069,2024-02,2023-08,6
C1069,2024-03,2023-08,7
C1069,2024-04,2023-08,8
C1069,2024-05,2023-08,9
C1069,2024-06,2023-08,10
C1069,2024-07,2023-08,11
C1069,2024-08,2023-08,12
C1069,2024-09,2023-08,13
C1069,2024-10,2023-08,14
C1069,2024-11,2023-08,15
C1069,2024-12,2023-08,16
C1071,2024-09,2024-09,0
C1071,2024-10,2024-09,1
C1071,2024-11,2024-09,2
C1071,2024-12,2024-09,3
C1072,2023-04,2023-04,0
C1072,2023-05,2023-04,1
C1072,2023-06,2023-04,2
C1072,2023-07,2023-04,3
C1072,2023-08,2023-04,4
C1072,2023-09,2023-04,5
C1072,2023-10,2023-04,6
C1072,2023-11,2023-04,7
C1072,2023-12,2023-04,8
C1072,2024-01,2023-04,9
C1072,2024-02,2023-04,10
C1072,2024-03,2023-04,11
C1072,2024-04,2023-04,12
C1072,2024-05,2023-04,13
C1072,2024-06,2023-04,14
C1072,2024-07,2023-04,15
C1072,2024-08,2023-04,16
C1072,2024-09,2023-04,17
C1072,2024-10,2023-04,18
C1072,2024-11,2023-04,19
C1072,2024-12,2023-04,20
C1073,2023-08,2023-08,0
C1073,2023-09,2023-08,1
C1073,2023-10,2023-08,2
C1073,2023-11,2023-08,3
C1073,2023-12,2023-08,4
C1073,2024-01,2023-08,5
C1073,2024-02,2023-08,6
C1073,2024-03,2023-08,7
C1073,2024-04,2023-08,8
C1073,2024-05,2023-08,9
C1073,2024-06,2023-08,10
C1073,2024-07,2023-08,11
C1073,2024-08,2023-08,12
C1073,2024-09,2023-08,13
C1073,2024-10,2023-08,14
C1073,2024-11,2023-08,15
C1073,2024-12,2023-08,16
C1074,2024-10,2024-10,0
C1074,2024-11,2024-10,1
C1074,2024-12,2024-10,2
C1075,2024-05,2024-05,0
C1075,2024-06,2024-05,1
C1075,2024-07,2024-05,2
C1075,2024-08,2024-05,3
C1075,2024-09,2024-05,4
C1075,2024-10,2024-05,5
C1075,2024-11,2024-05,6
C1075,2024-12,2024-05,7
C1076,2024-05,2024-05,0
C1076,2024-06,2024-05,1
C1076,2024-07,2024-05,2
C1076,2024-08,2024-05,3
C1076,2024-09,2024-05,4
C1076,2024-10,2024-05,5
C1076,2024-11,2024-05,6
C1076,2024-12,2024-05,7
C1077,2024-03,2024-03,0
C1077,2024-04,2024-03,1
C1077,2024-05,2024-03,2
C1077,2024-06,2024-03,3
C1077,2024-07,2024-03,4
C1077,2024-08,2024-03,5
C1077,2024-09,2024-03,6
C1077,2024-10,2024-03,7
C1077,2024-11,2024-03,8
C1077,2024-12,2024-03,9
C1078,2024-03,2024-03,0
C1078,2024-04,2024-03,1
C1078,2024-05,2024-03,2
C1078,2024-06,2024-03,3
C1078,2024-07,2024-03,4
C1078,2024-08,2024-03,5
C1078,2024-09,2024-03,6
C1078,2024-10,2024-03,7
C1078,2024-11,2024-03,8
C1078,2024-12,2024-03,9
C1079,2024-07,2024-07,0
C1079,2024-08,2024-07,1
C1079,2024-09,2024-07,2
C1079,2024-10,2024-07,3
C1079,2024-11,2024-07,4
C1079,2024-12,2024-07,5
C1080,2024-05,2024-05,0
C1080,2024-06,2024-05,1
C1080,2024-07,2024-05,2
C1080,2024-08,2024-05,3
C1080,2024-09,2024-05,4
C1080,2024-10,2024-05,5
C1080,2024-11,2024-05,6
C1080,2024-12,2024-05,7
C1081,2024-04,2024-04,0
C1081,2024-05,2024-04,1
C1081,2024-06,2024-04,2
C1081,2024-07,2024-04,3
C1081,2024-08,2024-04,4
C1081,2024-09,2024-04,5
C1081,2024-10,2024-04,6
