CustomerID,CompanyName,Industry,Country,Total_MRR,Total_Seats,Total_Logins,Total_ActiveUsers,Total_APICalls,Total_SessionMinutes,Customer_Status
C1029,Sai Khan Technologies,Manufacturing,India,698.6,6.0,81.0,35.0,14593.0,3177.8,Retained
C1030,Rohan Bose Solutions,Finance,India,2458.36,9.0,396.0,231.0,16297.0,5676.0,Retained
C1031,Isha Khan Technologies,Logistics,India,294.52,7.0,0.0,0.0,0.0,0.0,Retained
C1032,Naveen Menon Industries,Retail,India,60.76,4.0,0.0,0.0,0.0,0.0,Retained
C1033,Arun Sharma Industries,Logistics,India,342.28,10.0,146.0,93.0,18744.0,3730.3,Retained
C1034,Sneha Rao Industries,Healthcare,India,2578.28,10.0,0.0,0.0,0.0,0.0,Retained
C1035,Arjun Gupta Industries,Unknown,Singapore,1978.68,5.0,171.0,97.0,28076.0,5400.6,Retained
C1036,Krishna Sharma Solutions,Retail,India,80.36,9.0,168.0,102.0,31827.0,3956.6,Retained
C1037,Diya Das Industries,Education,UAE,1978.68,5.0,42.0,23.0,6623.0,1911.7,Churned
C1038,Sneha Menon Industries,Logistics,India,246.76,4.0,71.0,38.0,9156.0,1877.9,Churned
C1039,Arjun Iyer Systems,Logistics,India,76.44,8.0,83.0,42.0,27844.0,5371.4,Retained
C1040,Reyansh Nair Labs,Retail,UK,326.36,9.0,92.0,50.0,17865.0,2545.6,Retained
C1041,Sanjay Khan Systems,Manufacturing,India,437.8,16.0,111.0,56.0,17426.0,3163.5,Retained
C1042,Meera Iyer Industries,Finance,UK,60.76,4.0,311.0,183.0,33162.0,5197.9,Retained
C1043,Aadhya Khan Systems,Manufacturing,USA,698.6,6.0,173.0,99.0,13399.0,3300.2,Churned
C1044,Krishna Bose Solutions,Retail,USA,246.76,4.0,78.0,41.0,4675.0,1085.2,Churned
C1045,Kavya Verma Solutions,Retail,USA,2578.28,10.0,61.0,30.0,14787.0,1688.4,Retained
C1046,Tara Patel Industries,Retail,India,294.52,3.0,35.0,10.0,12343.0,2652.6,Churned
C1047,Rohan Das Technologies,Media,India,80.36,9.0,140.0,72.0,7995.0,1636.1999999999998,Retained
C1048,Aman Singh Labs,Finance,India,658.68,5.0,62.0,29.0,28335.0,3478.9,Retained
C1049,Farhan Gupta Labs,Education,USA,4676.88,16.0,32.0,18.0,5258.0,685.9000000000001,Churned
C1050,Arun Khan Solutions,Retail,UAE,1825.3600000000001,10.0,101.0,51.0,7638.0,2242.5,Churned
C1051,Priya Gupta Labs,Manufacturing,Singapore,262.68,5.0,92.0,52.0,4768.0,1286.3,Retained
C1052,Aadhya Reddy Labs,Finance,USA,390.04,13.0,92.0,59.0,10723.0,2131.9,Retained
C1053,Sanjay Joshi Group,Finance,UK,310.44,8.0,84.0,43.0,8093.0,2017.3999999999999,Churned
C1054,Arjun Bose Group,Manufacturing,India,818.36,9.0,14.0,9.0,4910.0,824.9,Retained
C1055,Arun Rao Technologies,Education,UK,68.6,6.0,134.0,64.0,20493.0,2621.9,Churned
C1056,Kavya Rao Systems,Healthcare,India,658.68,5.0,14.0,6.0,14097.0,1681.6999999999998,Retained
C1057,Reyansh Joshi Industries,Media,India,76.44,8.0,260.0,136.0,14388.0,3077.1,Retained
C1058,Riya Das Labs,Healthcare,India,64.68,5.0,45.0,23.0,4003.0,724.0,Churned
C1059,Myra Verma Labs,Media,Singapore,658.68,5.0,113.0,71.0,4999.0,1587.3,Retained
C1060,Aarav Reddy Systems,Media,UK,80.36,9.0,385.0,224.0,31791.0,4374.7,Retained
C1061,Isha Gupta Group,Finance,USA,310.44,8.0,266.0,158.0,16514.0,5155.2,Retained
C1062,Kavya Das Solutions,Manufacturing,India,358.2,11.0,6.0,2.0,2946.0,438.0,Churned
C1063,Rahul Menon Systems,Logistics,USA,56.84,3.0,52.0,25.0,12377.0,1460.6,Churned
C1064,Riya Sharma Technologies,Logistics,India,68.6,6.0,88.0,39.0,16026.0,2546.0,Retained
C1065,Priya Verma Systems,Education,India,898.2,11.0,90.0,47.0,19830.0,4097.7,Retained
C1066,Ishaan Reddy Solutions,Education,UK,88.2,11.0,32.0,16.0,8966.0,1407.7,Retained
C1067,Tara Khan Group,Logistics,India,326.36,9.0,139.0,83.0,23539.0,2360.9,Retained
C1068,Ananya Gupta Industries,Healthcare,USA,262.68,5.0,5.0,1.0,1291.0,625.5999999999999,Retained
C1069,Aadhya Joshi Systems,Logistics,India,80.36,9.0,262.0,141.0,17132.0,4548.9,Retained
C1070,Kiara Das Solutions,Manufacturing,UK,64.68,5.0,0.0,0.0,0.0,0.0,Retained
C1071,Arjun Patel Labs,Education,USA,326.36,9.0,82.0,41.0,7361.0,969.3,Retained
C1072,Rohan Gupta Technologies,Media,India,278.6,6.0,368.0,211.0,45924.0,4879.2,Retained
C1073,Vivaan Menon Group,Logistics,UK,84.28,10.0,150.0,86.0,29996.0,4698.9,Retained
C1074,Priya Khan Group,Finance,UK,294.52,7.0,22.0,12.0,3339.0,647.0,Retained
C1075,Ishaan Khan Industries,Healthcare,India,738.52,7.0,39.0,22.0,12737.0,2030.6,Retained
C1076,Arun Khan Labs,Education,India,2542.6400000000003,19.0,97.0,46.0,3740.0,1196.6,Churned
C1077,Krishna Nair Industries,Retail,USA,80.36,9.0,64.0,35.0,21829.0,2317.6,Retained
C1078,Rohan Patel Group,Media,India,76.44,8.0,32.0,13.0,12136.0,2280.5,Retained
C1079,Arun Rao Industries,Education,USA,778.44,8.0,73.0,43.0,8715.0,1308.6,Retained
C1080,Rohan Sharma Group,Media,India,310.44,8.0,29.0,14.0,11010.0,1817.1999999999998,Retained
C1081,Ananya Nair Group,Logistics,USA,64.68,5.0,21.0,8.0,6779.0,2164.7,Retained
C1082,Aadhya Nair Systems,Finance,India,294.52,7.0,92.0,41.0,8629.0,1994.1,Retained
C1083,Deepak Das Group,Retail,India,80.36,9.0,63.0,31.0,21976.0,2616.3,Retained
C1084,Meera Patel Industries,Finance,Singapore,294.52,7.0,0.0,0.0,0.0,0.0,Retained
C1085,Aditya Reddy Group,Logistics,Singapore,618.76,4.0,109.0,60.0,5745.0,1269.1000000000001,Churned
C1086,Karthik Sharma Systems,Media,USA,818.36,9.0,46.0,21.0,24023.0,5188.8,Retained
C1087,Diya Iyer Labs,Retail,India,60.76,4.0,10.0,6.0,4931.0,369.0,Retained
C1088,Reyansh Das Technologies,Healthcare,UAE,310.44,8.0,65.0,31.0,25835.0,4372.1,Retained
C1089,Reyansh Bose Solutions,Manufacturing,UK,294.52,9.0,22.0,9.0,9825.0,2563.9,Retained
C1090,Aarav Menon Group,Manufacturing,Singapore,326.36,9.0,9.0,4.0,2140.0,551.8,Churned
C1091,Myra Nair Solutions,Finance,India,618.76,4.0,13.0,6.0,1649.0,739.0999999999999,Retained
C1092,Aman Sharma Solutions,Retail,India,68.6,6.0,7.0,2.0,3097.0,221.8,Retained
C1093,Aarav Joshi Technologies,Retail,India,658.68,5.0,263.0,159.0,32589.0,5688.2,Retained
C1094,Isha Nair Solutions,Retail,USA,1858.76,4.0,377.0,206.0,34990.0,5469.5,Retained
C1095,Aarav Das Industries,Logistics,Singapore,72.52,7.0,170.0,92.0,25465.0,5224.7,Retained
C1096,Deepak Gupta Labs,Finance,USA,310.44,8.0,151.0,75.0,14710.0,2549.2,Retained
C1097,Diya Gupta Industries,Logistics,USA,68.6,6.0,4.0,2.0,142.0,350.7,Churned
C1098,Myra Nair Systems,Logistics,UK,818.36,9.0,78.0,38.0,10967.0,2559.7,Retained
C1099,Ishaan Patel Group,Logistics,India,88.2,11.0,69.0,33.0,9438.0,1938.2,Churned
C1100,Priya Gupta Solutions,Healthcare,UAE,2098.6,6.0,99.0,50.0,4439.0,1477.6,Retained
C1101,Zoya Bose Industries,Finance,UK,294.52,7.0,166.0,86.0,20407.0,5621.4,Retained
C1102,Deepak Iyer Solutions,Retail,India,2218.52,7.0,329.0,181.0,27520.0,5287.599999999999,Retained
C1103,Pooja Menon Group,Retail,India,3057.96,14.0,205.0,127.0,19629.0,4535.4,Retained
C1104,Farhan Iyer Group,Finance,Singapore,72.52,7.0,14.0,6.0,3179.0,731.8,Retained
C1105,Riya Gupta Labs,Media,India,698.6,6.0,218.0,120.0,40850.0,6135.1,Retained
C1106,Ananya Singh Group,Logistics,Singapore,199.0,1.0,19.0,11.0,5248.0,1062.8000000000002,Retained
C1107,Isha Nair Technologies,Retail,India,64.68,5.0,131.0,68.0,9557.0,1669.5,Churned
C1108,Saanvi Joshi Systems,Unknown,Singapore,68.6,6.0,319.0,195.0,14818.0,5954.4,Retained
C1109,Kiara Verma Industries,Retail,UAE,262.68,5.0,397.0,218.0,22170.0,5452.4,Retained
C1110,Tara Sharma Solutions,Media,UK,294.52,7.0,70.0,37.0,7955.0,1803.8,Retained
C1111,Priya Khan Industries,Unknown,UAE,658.68,5.0,97.0,57.0,13354.0,2055.6,Retained
C1112,Aarav Singh Labs,Education,UK,72.52,7.0,197.0,115.0,12639.0,2097.6,Churned
C1113,Riya Iyer Technologies,Healthcare,India,2578.28,10.0,75.0,58.0,5941.0,898.3,Retained
C1114,Aadhya Das Industries,Manufacturing,USA,80.36,9.0,43.0,27.0,7252.0,711.9,Retained
C1115,Rahul Rao Labs,Finance,UAE,88.2,11.0,32.0,11.0,4271.0,925.6999999999999,Churned
C1116,Isha Gupta Group,Finance,India,80.36,9.0,3.0,2.0,1626.0,206.0,Retained
C1117,Arun Gupta Labs,Education,UAE,738.52,7.0,21.0,15.0,1511.0,839.0999999999999,Churned
C1118,Ishaan Reddy Group,Education,UAE,278.6,6.0,25.0,9.0,2732.0,1294.8,Retained
C1119,Deepak Verma Systems,Logistics,India,72.52,7.0,143.0,78.0,31571.0,4465.8,Retained
C1120,Pooja Rao Solutions,Manufacturing,UAE,310.44,8.0,53.0,31.0,6893.0,2091.4,Retained
C1121,Ishaan Singh Group,Logistics,India,1858.76,4.0,361.0,190.0,16589.0,5596.4,Retained
C1122,Aarav Gupta Technologies,Logistics,India,310.44,8.0,51.0,26.0,11495.0,1316.7,Churned
C1123,Vihaan Joshi Solutions,Manufacturing,India,92.12,12.0,103.0,64.0,8648.0,2245.8,Retained
C1124,Krishna Sharma Systems,Manufacturing,UK,278.6,6.0,27.0,16.0,5295.0,1553.3,Retained
C1125,Kiara Verma Systems,Media,UK,88.2,11.0,171.0,97.0,12809.0,1938.2,Churned
C1126,Sneha Iyer Group,Retail,India,96.04,13.0,198.0,131.0,18920.0,4027.4,Retained
C1127,Divya Gupta Labs,Education,UAE,278.6,6.0,173.0,91.0,17903.0,2411.2,Retained
C1128,Sneha Rao Industries,Finance,India,88.2,11.0,325.0,187.0,29390.0,3862.2,Retained
C1129,Farhan Reddy Labs,Manufacturing,India,858.28,10.0,57.0,32.0,3842.0,1717.3,Churned
C1130,Nikita Iyer Technologies,Media,UAE,80.36,9.0,181.0,108.0,18465.0,2618.8,Retained
C1131,Aditya Menon Industries,Manufacturing,UAE,525.36,10.0,129.0,65.0,23099.0,4145.5,Churned
C1132,Sneha Khan Solutions,Finance,Singapore,775.04,14.0,37.0,14.0,9322.0,2167.1,Churned
C1133,Divya Nair Solutions,Retail,India,80.36,9.0,0.0,0.0,0.0,0.0,Retained
C1134,Tara Reddy Industries,Healthcare,India,56.84,3.0,453.0,232.0,31979.0,5905.8,Retained
C1135,Nikita Menon Solutions,Education,India,246.76,4.0,159.0,95.0,18102.0,3275.8,Retained
C1136,Deepak Bose Group,Media,UAE,294.52,7.0,47.0,25.0,12966.0,2207.4,Retained
C1137,Arun Verma Labs,Finance,India,342.28,10.0,110.0,62.0,8261.0,1366.6,Churned
C1138,Meera Sharma Labs,Retail,India,84.28,10.0,50.0,25.0,3912.0,601.3000000000001,Retained
C1139,Arjun Menon Group,Logistics,India,68.6,6.0,211.0,108.0,33461.0,4953.2,Retained
C1140,Aarav Nair Systems,Retail,India,278.6,6.0,36.0,15.0,1991.0,781.7,Churned
C1141,Ananya Joshi Industries,Finance,USA,278.6,6.0,136.0,71.0,28450.0,6789.9,Retained
C1142,Kavya Reddy Technologies,Education,USA,326.36,9.0,270.0,151.0,27711.0,5823.3,Retained
C1143,Reyansh Menon Solutions,Retail,Singapore,88.2,11.0,98.0,52.0,10005.0,2354.3,Churned
C1144,Aditya Sharma Technologies,Media,UK,2698.2,11.0,216.0,131.0,22209.0,3397.3,Retained
C1145,Pooja Reddy Solutions,Logistics,India,68.6,6.0,313.0,169.0,23925.0,6105.9,Retained
C1146,Priya Iyer Technologies,Healthcare,India,294.52,7.0,132.0,68.0,24680.0,5860.7,Retained
C1147,Vivaan Khan Technologies,Manufacturing,India,262.68,5.0,173.0,85.0,13087.0,3993.0,Retained
C1148,Divya Bose Solutions,Education,India,778.44,8.0,18.0,7.0,3392.0,832.8000000000001,Retained
C1149,Vivaan Verma Technologies,Logistics,UK,1978.68,5.0,71.0,39.0,23494.0,5919.3,Retained
C1150,Rahul Singh Technologies,Education,India,578.84,3.0,0.0,0.0,0.0,0.0,Churned
C1151,Aman Gupta Solutions,Manufacturing,India,778.44,8.0,132.0,77.0,10874.0,1887.0,Churned
C1152,Nikita Verma Technologies,Finance,USA,294.52,7.0,19.0,7.0,4282.0,886.7,Churned
C1153,Aadhya Patel Solutions,Media,India,618.76,4.0,30.0,11.0,7219.0,1156.8,Retained
C1154,Kiara Das Group,Unknown,India,723.3599999999999,10.0,8.0,4.0,3649.0,657.9000000000001,Churned
C1155,Naveen Verma Technologies,Manufacturing,India,2098.6,6.0,97.0,46.0,21903.0,4323.0,Retained
C1156,Diya Sharma Technologies,Retail,India,2218.52,7.0,85.0,46.0,12133.0,2974.4,Retained
C1157,Meera Joshi Solutions,Logistics,Singapore,230.84,3.0,76.0,39.0,15644.0,2611.0,Retained
C1158,Farhan Nair Labs,Education,India,84.28,10.0,201.0,97.0,21070.0,5085.2,Retained
C1159,Deepak Bose Systems,Education,UK,80.36,9.0,50.0,26.0,5396.0,952.8,Retained
C1160,Ishaan Singh Group,Education,USA,68.6,6.0,10.0,4.0,597.0,228.8,Retained
C1161,Sneha Das Systems,Healthcare,UAE,246.76,4.0,22.0,9.0,21178.0,2260.1,Retained
C1162,Divya Nair Technologies,Logistics,India,2098.6,6.0,26.0,14.0,1159.0,551.1999999999999,Churned
C1163,Meera Menon Industries,Media,India,278.6,6.0,89.0,45.0,24521.0,3983.4,Retained
C1164,Saanvi Menon Systems,Healthcare,India,80.36,9.0,255.0,139.0,27508.0,3747.0,Retained
C1165,Arjun Das Solutions,Logistics,India,72.52,7.0,153.0,93.0,13464.0,2518.4,Retained
C1166,Deepak Joshi Industries,Education,India,2338.44,8.0,31.0,21.0,7565.0,1049.7,Retained
C1167,Aarav Patel Labs,Media,Singapore,278.6,6.0,66.0,26.0,26818.0,4928.8,Retained
C1168,Aditya Joshi Solutions,Finance,USA,56.84,3.0,318.0,164.0,12269.0,3954.2,Retained
C1169,Reyansh Menon Solutions,Manufacturing,UK,658.68,5.0,16.0,7.0,8651.0,1094.9,Retained
C1170,Diya Verma Industries,Finance,India,76.44,8.0,74.0,46.0,5555.0,912.7,Churned
C1171,Aditya Khan Industries,Retail,USA,294.52,8.0,270.0,135.0,20380.0,3424.1,Retained
C1172,Reyansh Menon Industries,Healthcare,Singapore,818.36,9.0,23.0,10.0,2296.0,209.9,Churned
C1173,Kiara Bose Labs,Finance,India,76.44,8.0,35.0,20.0,6443.0,571.4,Churned
C1174,Vivaan Verma Systems,Retail,India,230.84,3.0,63.0,28.0,7341.0,935.7,Retained
C1175,Pooja Bose Solutions,Logistics,India,56.84,3.0,103.0,47.0,22317.0,4691.6,Retained
C1176,Sneha Khan Technologies,Education,UAE,72.52,7.0,60.0,29.0,1509.0,798.1,Churned
C1177,Isha Gupta Group,Media,USA,72.52,7.0,245.0,156.0,17908.0,4081.4,Retained
C1178,Isha Menon Solutions,Retail,India,326.36,9.0,360.0,205.0,24438.0,4765.1,Retained
C1179,Sneha Iyer Solutions,Media,USA,60.76,4.0,30.0,14.0,5745.0,1048.6,Churned
C1180,Rahul Menon Labs,Retail,UAE,68.6,6.0,142.0,94.0,8996.0,1991.9,Churned
C1181,Isha Reddy Labs,Healthcare,UK,230.84,3.0,65.0,34.0,2741.0,725.8,Churned
C1182,Arun Menon Labs,Finance,India,1978.68,5.0,37.0,14.0,14175.0,2507.7,Churned
C1183,Sanjay Gupta Labs,Manufacturing,USA,402.8,17.0,52.0,26.0,10636.0,1341.9,Churned
C1184,Meera Verma Group,Manufacturing,USA,818.36,9.0,192.0,99.0,21884.0,5320.3,Retained
C1185,Zoya Rao Labs,Finance,India,294.52,7.0,53.0,27.0,6286.0,1016.2,Churned
C1186,Diya Rao Technologies,Media,UK,738.52,7.0,104.0,59.0,22089.0,3798.4,Retained
C1187,Pooja Gupta Group,Manufacturing,India,578.84,3.0,209.0,122.0,18117.0,2975.9,Retained
C1188,Tara Rao Industries,Healthcare,India,778.44,8.0,389.0,245.0,35150.0,4804.6,Retained
C1189,Kiara Patel Group,Media,India,310.44,8.0,19.0,9.0,8596.0,604.3,Churned
C1190,Myra Joshi Solutions,Retail,UK,342.28,10.0,53.0,18.0,24468.0,5894.7,Retained
C1191,Sai Patel Industries,Healthcare,UAE,68.6,6.0,246.0,131.0,13042.0,3241.4,Retained
C1192,Deepak Nair Technologies,Media,UK,84.28,10.0,62.0,32.0,22798.0,4445.2,Retained
C1193,Diya Menon Systems,Unknown,USA,278.6,6.0,18.0,10.0,5062.0,1498.6,Retained
C1194,Zoya Bose Group,Retail,UAE,3957.3599999999997,10.0,105.0,62.0,7975.0,1555.5,Churned
C1195,Aman Gupta Labs,Finance,UAE,2578.28,10.0,224.0,120.0,20385.0,4668.9,Retained
C1196,Ananya Singh Industries,Finance,India,99.96,14.0,6.0,2.0,3590.0,589.8,Churned
C1197,Sanjay Menon Industries,Education,Singapore,88.2,11.0,86.0,49.0,19714.0,2455.6,Retained
C1198,Ananya Sharma Labs,Finance,India,2218.52,7.0,377.0,179.0,28182.0,5368.0,Retained
C1199,Aman Singh Labs,Education,India,278.6,6.0,12.0,5.0,7005.0,1241.4,Retained
C1200,Kavya Rao Industries,Media,India,60.76,4.0,21.0,7.0,927.0,447.9,Retained
C1201,Naveen Patel Labs,Manufacturing,India,1858.76,4.0,20.0,9.0,185.0,337.2,Retained
C1202,Karthik Iyer Labs,Finance,India,1112.88,16.0,18.0,6.0,1956.0,335.6,Churned
C1203,Saanvi Reddy Industries,Education,USA,858.28,10.0,36.0,22.0,8114.0,821.0,Retained
C1204,Aman Reddy Systems,Manufacturing,India,2338.44,8.0,333.0,202.0,23455.0,6215.1,Retained
C1205,Isha Joshi Labs,Healthcare,USA,778.44,8.0,87.0,47.0,9564.0,2022.0,Churned
C1206,Zoya Gupta Group,Logistics,India,738.52,7.0,349.0,199.0,30924.0,5245.900000000001,Retained
C1207,Sneha Gupta Technologies,Manufacturing,Singapore,310.44,8.0,373.0,186.0,29308.0,5186.3,Retained
C1208,Deepak Das Group,Healthcare,India,60.76,4.0,21.0,12.0,10291.0,1918.8,Churned
C1209,Rahul Khan Systems,Media,USA,658.68,5.0,30.0,15.0,6854.0,1348.6,Churned
C1210,Deepak Patel Technologies,Healthcare,India,56.84,3.0,36.0,18.0,5247.0,972.7,Churned
C1211,Krishna Iyer Solutions,Retail,India,294.52,7.0,52.0,25.0,3102.0,1011.4,Retained
C1212,Sai Verma Solutions,Retail,India,538.92,2.0,185.0,106.0,21498.0,4957.6,Retained
C1213,Nikita Verma Labs,Retail,India,214.92,2.0,17.0,13.0,826.0,435.3,Retained
C1214,Sneha Sharma Technologies,Logistics,India,405.96,14.0,31.0,19.0,4733.0,505.5,Retained
C1215,Zoya Patel Solutions,Healthcare,UK,60.76,4.0,18.0,6.0,4925.0,1392.0,Retained
C1216,Nikita Khan Systems,Manufacturing,India,76.44,8.0,93.0,48.0,20645.0,4497.7,Retained
C1217,Sai Iyer Industries,Logistics,India,1858.76,4.0,159.0,95.0,10986.0,2178.9,Churned
C1218,Reyansh Joshi Group,Education,Singapore,84.28,10.0,0.0,0.0,0.0,0.0,Retained
C1219,Tara Nair Group,Healthcare,India,160.72,18.0,147.0,80.0,24237.0,4534.8,Churned
C1220,Diya Rao Solutions,Logistics,UAE,658.68,5.0,261.0,149.0,32557.0,5894.0,Retained
C1221,Rahul Gupta Solutions,Education,India,80.36,9.0,108.0,56.0,15668.0,1797.4,Churned
C1222,Aarav Verma Labs,Finance,UK,818.36,9.0,53.0,35.0,2364.0,1013.3,Retained
C1223,Vihaan Joshi Industries,Education,USA,278.6,6.0,99.0,61.0,5520.0,1334.6999999999998,Retained
C1224,Isha Patel Technologies,Manufacturing,India,898.2,11.0,44.0,21.0,11157.0,2557.0,Retained
C1225,Diya Patel Industries,Logistics,India,129.36,10.0,171.0,104.0,23197.0,3609.7,Churned
C1226,Ishaan Patel Industries,Education,India,246.76,4.0,159.0,94.0,31828.0,4647.5,Retained
C1227,Karthik Das Industries,Healthcare,India,698.6,6.0,32.0,20.0,5699.0,784.0,Churned
C1228,Kiara Sharma Solutions,Logistics,India,230.84,3.0,16.0,5.0,6394.0,1897.8,Churned
C1229,Farhan Verma Technologies,Media,UK,72.52,7.0,82.0,49.0,18424.0,2735.7,Retained
C1230,Ishaan Patel Industries,Retail,India,1009.04,14.0,87.0,44.0,15356.0,2902.1,Churned
C1231,Aditya Patel Group,Logistics,USA,246.76,4.0,200.0,104.0,10884.0,3253.0,Retained
C1232,Rohan Bose Systems,Finance,UK,738.52,7.0,36.0,21.0,4919.0,1080.1,Retained
C1233,Deepak Patel Labs,Manufacturing,UAE,578.84,3.0,67.0,33.0,3449.0,1336.2,Retained
C1234,Farhan Singh Industries,Manufacturing,UK,68.6,6.0,437.0,254.0,31970.0,5174.0,Retained
C1235,Vivaan Bose Technologies,Healthcare,India,68.6,6.0,23.0,9.0,6153.0,1659.6,Retained
C1236,Saanvi Rao Industries,Education,UAE,72.52,7.0,33.0,21.0,1702.0,653.5,Churned
C1237,Arun Rao Systems,Logistics,India,358.2,11.0,147.0,69.0,4833.0,1407.9,Retained
C1238,Tara Gupta Technologies,Media,UK,88.2,11.0,138.0,74.0,15363.0,3540.7,Churned
C1239,Pooja Nair Solutions,Manufacturing,UK,1738.84,3.0,39.0,16.0,3607.0,753.3,Churned
C1240,Aadhya Gupta Group,Finance,Singapore,64.68,5.0,0.0,0.0,0.0,0.0,Retained
C1241,Rohan Iyer Group,Healthcare,India,2098.6,6.0,201.0,118.0,19031.0,2877.0,Churned
C1242,Deepak Bose Group,Finance,India,2648.88,16.0,7.0,3.0,2842.0,584.8,Churned
C1243,Aditya Patel Solutions,Media,UAE,64.68,5.0,247.0,146.0,5532.0,3747.0,Retained
C1244,Myra Sharma Industries,Media,India,72.52,7.0,10.0,6.0,3173.0,382.8,Retained
C1245,Aadhya Sharma Labs,Logistics,India,84.28,10.0,8.0,6.0,515.0,135.0,Retained
C1246,Aditya Sharma Group,Finance,UAE,618.76,4.0,212.0,150.0,14175.0,2650.9,Retained
C1247,Karthik Sharma Technologies,Manufacturing,UK,738.52,7.0,52.0,32.0,6475.0,1606.8,Retained
C1248,Farhan Bose Solutions,Media,UAE,738.52,7.0,118.0,78.0,4751.0,2053.2,Retained
C1249,Ananya Singh Solutions,Manufacturing,USA,698.6,6.0,287.0,148.0,28405.0,5274.0,Retained
C1250,Sai Rao Industries,Finance,India,1978.68,5.0,149.0,74.0,15122.0,3044.2,Retained
C1251,Diya Khan Group,Logistics,Singapore,818.36,9.0,173.0,102.0,21096.0,5475.3,Retained
C1252,Meera Sharma Industries,Media,UK,2098.6,6.0,125.0,58.0,11778.0,2571.1,Churned
C1253,Karthik Rao Solutions,Media,India,156.8,17.0,42.0,21.0,5143.0,1055.7,Churned
C1254,Rohan Nair Technologies,Education,USA,310.44,8.0,164.0,89.0,25481.0,4801.8,Retained
C1255,Riya Joshi Labs,Healthcare,India,310.44,8.0,3.0,0.0,1816.0,536.9,Churned
C1256,Sai Gupta Technologies,Media,UK,1978.68,5.0,102.0,53.0,12317.0,2675.6,Retained
C1257,Vihaan Patel Solutions,Manufacturing,India,1858.76,4.0,30.0,12.0,2143.0,519.1,Churned
C1258,Myra Verma Technologies,Media,UK,658.68,5.0,12.0,3.0,5646.0,743.7,Churned
C1259,Priya Reddy Systems,Manufacturing,India,778.44,8.0,65.0,46.0,2354.0,845.8,Retained
C1260,Meera Iyer Technologies,Finance,India,818.36,7.0,191.0,101.0,27285.0,5048.2,Retained
C1261,Reyansh Menon Labs,Retail,India,1978.68,5.0,57.0,31.0,8191.0,345.2,Churned
