CustomerID,CompanyName,Industry,Country,City,EmployeeCount,SignupDate,AcquisitionChannel,Total_MRR,Total_Seats,Total_Logins,Total_ActiveUsers,Total_APICalls,Total_SessionMinutes,Ticket_Count,Average_Satisfaction,Average_ResolutionHours,Churn_Status,Satisfaction_Group
C1016,Diya Singh Industries,Media,UK,Manchester,35.0,2024-01-16,Paid Ads,978.04,13.0,38.0,15.0,6672.0,1720.7,4.0,6.5,38.9,Churned,Excellent (>4)
C1017,Rahul Reddy Solutions,Unknown,USA,Seattle,12.0,2024-06-05,Paid Ads,60.76,4.0,24.0,13.0,2822.0,1829.2,3.0,4.0,50.166666666666664,Retained,Good (>3–4)
C1018,Myra Khan Systems,Finance,USA,Boston,150.0,2024-03-06,Referral,2098.6,6.0,87.0,53.0,7947.0,2759.6,6.0,4.333333333333333,33.166666666666664,Retained,Excellent (>4)
C1019,Deepak Nair Labs,Finance,Singapore,Singapore,150.0,2024-04-30,Outbound,326.36,9.0,149.0,73.0,8711.0,2472.2999999999997,2.0,5.5,28.05,Retained,Excellent (>4)
C1020,Saanvi Menon Group,Retail,India,Chennai,400.0,2023-12-04,Referral,68.6,6.0,55.0,33.0,4663.0,1145.0,5.0,5.8,37.7,Churned,Excellent (>4)
C1021,Vivaan Singh Systems,Finance,USA,Seattle,35.0,2023-05-14,Organic Search,76.44,8.0,264.0,148.0,22493.0,4930.3,4.0,4.75,38.625,Retained,Excellent (>4)
C1022,Rahul Singh Technologies,Retail,USA,Boston,400.0,2023-09-26,Organic Search,64.68,5.0,44.0,17.0,22354.0,3823.9,8.0,6.125,46.9625,Retained,Excellent (>4)
C1023,Meera Menon Industries,Media,USA,Boston,35.0,2024-08-02,Referral,778.44,8.0,14.0,4.0,7528.0,1362.1,5.0,5.8,39.28,Retained,Excellent (>4)
C1024,Vivaan Verma Solutions,Retail,India,Bengaluru,12.0,2024-10-17,Paid Ads,246.76,4.0,47.0,22.0,1144.0,770.4000000000001,2.0,5.5,58.55,Retained,Excellent (>4)
C1025,Diya Singh Labs,Manufacturing,USA,Seattle,1200.0,2023-04-22,Outbound,262.68,5.0,70.0,34.0,33541.0,5612.8,4.0,4.5,40.825,Retained,Excellent (>4)
C1026,Vivaan Singh Solutions,Manufacturing,India,Mumbai,12.0,2024-05-04,Organic Search,698.6,6.0,62.0,35.0,6120.0,1204.1,1.0,4.0,52.7,Churned,Good (>3–4)
C1027,Vihaan Bose Group,Manufacturing,India,Bengaluru,3000.0,2023-05-06,Paid Ads,778.44,8.0,18.0,10.0,2758.0,918.7,2.0,7.0,25.0,Churned,Excellent (>4)
C1028,Ananya Gupta Solutions,Manufacturing,India,Chennai,3000.0,2023-06-06,Partner,294.52,7.0,206.0,123.0,14811.0,3007.7,4.0,5.0,27.25,Churned,Excellent (>4)
C1029,Sai Khan Technologies,Manufacturing,India,Pune,3000.0,2024-01-20,Referral,698.6,6.0,81.0,35.0,14593.0,3177.8,6.0,6.333333333333333,26.333333333333332,Retained,Excellent (>4)
C1030,Rohan Bose Solutions,Finance,India,Delhi,1200.0,2023-04-24,Referral,2458.36,9.0,396.0,231.0,16297.0,5676.0,2.0,6.0,37.099999999999994,Retained,Excellent (>4)
C1031,Isha Khan Technologies,Logistics,India,Bengaluru,400.0,2025-01-26,Organic Search,294.52,7.0,0.0,0.0,0.0,0.0,3.0,6.666666666666667,44.79999999999999,Retained,Excellent (>4)
C1032,Naveen Menon Industries,Retail,India,Pune,1200.0,2025-01-09,Events,60.76,4.0,0.0,0.0,0.0,0.0,5.0,4.0,48.54,Retained,Good (>3–4)
C1033,Arun Sharma Industries,Logistics,India,Delhi,35.0,2023-11-30,Paid Ads,342.28,10.0,146.0,93.0,18744.0,3730.3,5.0,5.4,54.220000000000006,Retained,Excellent (>4)
C1034,Sneha Rao Industries,Healthcare,India,Bengaluru,12.0,2025-01-26,Events,2578.28,10.0,0.0,0.0,0.0,0.0,3.0,4.666666666666667,37.53333333333334,Retained,Excellent (>4)
C1035,Arjun Gupta Industries,Unknown,Singapore,Singapore,80.0,2023-06-21,Outbound,1978.68,5.0,171.0,97.0,28076.0,5400.6,7.0,5.571428571428571,35.285714285714285,Retained,Excellent (>4)
C1036,Krishna Sharma Solutions,Retail,India,Mumbai,1200.0,2023-08-24,Organic Search,80.36,9.0,168.0,102.0,31827.0,3956.6,6.0,5.833333333333333,32.26666666666667,Retained,Excellent (>4)
C1037,Diya Das Industries,Education,UAE,Abu Dhabi,150.0,2024-02-26,Partner,1978.68,5.0,42.0,23.0,6623.0,1911.7,3.0,5.666666666666667,50.06666666666667,Churned,Excellent (>4)
C1038,Sneha Menon Industries,Logistics,India,Hyderabad,35.0,2023-05-06,Outbound,246.76,4.0,71.0,38.0,9156.0,1877.9,4.0,4.25,49.275,Churned,Excellent (>4)
C1039,Arjun Iyer Systems,Logistics,India,Chennai,12.0,2023-03-23,Referral,76.44,8.0,83.0,42.0,27844.0,5371.4,2.0,6.5,11.65,Retained,Excellent (>4)
C1040,Reyansh Nair Labs,Retail,UK,London,12.0,2024-02-13,Paid Ads,326.36,9.0,92.0,50.0,17865.0,2545.6,4.0,5.75,42.3,Retained,Excellent (>4)
C1041,Sanjay Khan Systems,Manufacturing,India,Pune,12.0,2023-12-30,Outbound,437.8,16.0,111.0,56.0,17426.0,3163.5,2.0,5.5,34.5,Retained,Excellent (>4)
C1042,Meera Iyer Industries,Finance,UK,London,35.0,2023-05-12,Paid Ads,60.76,4.0,311.0,183.0,33162.0,5197.9,3.0,6.0,23.7,Retained,Excellent (>4)
C1043,Aadhya Khan Systems,Manufacturing,USA,Seattle,35.0,2023-07-25,Paid Ads,698.6,6.0,173.0,99.0,13399.0,3300.2,2.0,4.0,16.1,Churned,Good (>3–4)
C1044,Krishna Bose Solutions,Retail,USA,Austin,400.0,2024-07-08,Paid Ads,246.76,4.0,78.0,41.0,4675.0,1085.2,3.0,5.0,19.233333333333334,Churned,Excellent (>4)
C1045,Kavya Verma Solutions,Retail,USA,Austin,12.0,2024-06-10,Paid Ads,2578.28,10.0,61.0,30.0,14787.0,1688.4,5.0,6.4,30.420000000000005,Retained,Excellent (>4)
C1046,Tara Patel Industries,Retail,India,Chennai,12.0,2023-09-04,Organic Search,294.52,3.0,35.0,10.0,12343.0,2652.6,6.0,5.833333333333333,46.65,Churned,Excellent (>4)
C1047,Rohan Das Technologies,Media,India,Hyderabad,150.0,2024-06-01,Paid Ads,80.36,9.0,140.0,72.0,7995.0,1636.1999999999998,1.0,5.0,32.6,Retained,Excellent (>4)
C1048,Aman Singh Labs,Finance,India,Mumbai,80.0,2023-07-25,Paid Ads,658.68,5.0,62.0,29.0,28335.0,3478.9,3.0,5.0,27.7,Retained,Excellent (>4)
C1049,Farhan Gupta Labs,Education,USA,Boston,12.0,2024-10-06,Organic Search,4676.88,16.0,32.0,18.0,5258.0,685.9000000000001,7.0,6.714285714285714,19.37142857142857,Churned,Excellent (>4)
C1050,Arun Khan Solutions,Retail,UAE,Abu Dhabi,150.0,2023-07-09,Organic Search,1825.3600000000001,10.0,101.0,51.0,7638.0,2242.5,3.0,6.0,20.6,Churned,Excellent (>4)
C1051,Priya Gupta Labs,Manufacturing,Singapore,Singapore,400.0,2024-08-01,Partner,262.68,5.0,92.0,52.0,4768.0,1286.3,5.0,7.2,29.540000000000003,Retained,Excellent (>4)
C1052,Aadhya Reddy Labs,Finance,USA,Austin,150.0,2024-05-10,Organic Search,390.04,13.0,92.0,59.0,10723.0,2131.9,4.0,5.25,31.1,Retained,Excellent (>4)
C1053,Sanjay Joshi Group,Finance,UK,London,1200.0,2023-05-25,Partner,310.44,8.0,84.0,43.0,8093.0,2017.3999999999999,2.0,6.5,41.15,Churned,Excellent (>4)
C1054,Arjun Bose Group,Manufacturing,India,Chennai,80.0,2024-11-14,Paid Ads,818.36,9.0,14.0,9.0,4910.0,824.9,3.0,5.333333333333333,40.5,Retained,Excellent (>4)
C1055,Arun Rao Technologies,Education,UK,Manchester,12.0,2023-03-25,Referral,68.6,6.0,134.0,64.0,20493.0,2621.9,3.0,6.0,28.366666666666664,Churned,Excellent (>4)
C1056,Kavya Rao Systems,Healthcare,India,Pune,80.0,2024-07-30,Events,658.68,5.0,14.0,6.0,14097.0,1681.6999999999998,4.0,4.5,36.875,Retained,Excellent (>4)
C1057,Reyansh Joshi Industries,Media,India,Delhi,1200.0,2023-11-12,Referral,76.44,8.0,260.0,136.0,14388.0,3077.1,1.0,9.0,2.8,Retained,Excellent (>4)
C1058,Riya Das Labs,Healthcare,India,Chennai,12.0,2024-08-27,Referral,64.68,5.0,45.0,23.0,4003.0,724.0,1.0,9.0,4.0,Churned,Excellent (>4)
C1059,Myra Verma Labs,Media,Singapore,Singapore,80.0,2024-07-16,Organic Search,658.68,5.0,113.0,71.0,4999.0,1587.3,2.0,6.5,24.700000000000003,Retained,Excellent (>4)
C1060,Aarav Reddy Systems,Media,UK,London,150.0,2023-07-09,Organic Search,80.36,9.0,385.0,224.0,31791.0,4374.7,2.0,5.5,57.1,Retained,Excellent (>4)
C1061,Isha Gupta Group,Finance,USA,Boston,150.0,2023-06-02,Paid Ads,310.44,8.0,266.0,158.0,16514.0,5155.2,2.0,6.5,37.45,Retained,Excellent (>4)
C1062,Kavya Das Solutions,Manufacturing,India,Mumbai,3000.0,2023-06-02,Paid Ads,358.2,11.0,6.0,2.0,2946.0,438.0,2.0,5.0,42.9,Churned,Excellent (>4)
C1063,Rahul Menon Systems,Logistics,USA,Austin,12.0,2023-06-09,Events,56.84,3.0,52.0,25.0,12377.0,1460.6,4.0,4.75,43.95,Churned,Excellent (>4)
C1064,Riya Sharma Technologies,Logistics,India,Chennai,35.0,2024-03-21,Paid Ads,68.6,6.0,88.0,39.0,16026.0,2546.0,1.0,8.0,22.1,Retained,Excellent (>4)
C1065,Priya Verma Systems,Education,India,Chennai,3000.0,2023-10-25,Organic Search,898.2,11.0,90.0,47.0,19830.0,4097.7,4.0,6.25,32.825,Retained,Excellent (>4)
C1066,Ishaan Reddy Solutions,Education,UK,Manchester,80.0,2024-07-18,Organic Search,88.2,11.0,32.0,16.0,8966.0,1407.7,3.0,3.3333333333333335,46.63333333333333,Retained,Good (>3–4)
C1067,Tara Khan Group,Logistics,India,Delhi,80.0,2024-02-10,Partner,326.36,9.0,139.0,83.0,23539.0,2360.9,6.0,5.833333333333333,48.083333333333336,Retained,Excellent (>4)
C1068,Ananya Gupta Industries,Healthcare,USA,Seattle,150.0,2024-11-04,Organic Search,262.68,5.0,5.0,1.0,1291.0,625.5999999999999,2.0,5.5,50.6,Retained,Excellent (>4)
C1069,Aadhya Joshi Systems,Logistics,India,Hyderabad,35.0,2023-08-15,Partner,80.36,9.0,262.0,141.0,17132.0,4548.9,2.0,7.5,9.05,Retained,Excellent (>4)
C1070,Kiara Das Solutions,Manufacturing,UK,Manchester,35.0,2025-01-25,Organic Search,64.68,5.0,0.0,0.0,0.0,0.0,3.0,7.0,11.933333333333332,Retained,Excellent (>4)
C1071,Arjun Patel Labs,Education,USA,Austin,35.0,2024-09-11,Organic Search,326.36,9.0,82.0,41.0,7361.0,969.3,4.0,6.0,38.45,Retained,Excellent (>4)
C1072,Rohan Gupta Technologies,Media,India,Pune,400.0,2023-04-22,Paid Ads,278.6,6.0,368.0,211.0,45924.0,4879.2,8.0,5.75,38.4875,Retained,Excellent (>4)
C1073,Vivaan Menon Group,Logistics,UK,London,80.0,2023-08-20,Partner,84.28,10.0,150.0,86.0,29996.0,4698.9,4.0,3.25,47.4,Retained,Good (>3–4)
C1074,Priya Khan Group,Finance,UK,London,1200.0,2024-10-11,Referral,294.52,7.0,22.0,12.0,3339.0,647.0,5.0,4.4,44.6,Retained,Excellent (>4)
C1075,Ishaan Khan Industries,Healthcare,India,Pune,35.0,2024-05-01,Organic Search,738.52,7.0,39.0,22.0,12737.0,2030.6,5.0,6.6,26.360000000000003,Retained,Excellent (>4)
C1076,Arun Khan Labs,Education,India,Chennai,400.0,2024-05-26,Organic Search,2542.6400000000003,19.0,97.0,46.0,3740.0,1196.6,3.0,4.0,45.56666666666666,Churned,Good (>3–4)
C1077,Krishna Nair Industries,Retail,USA,Austin,1200.0,2024-03-10,Paid Ads,80.36,9.0,64.0,35.0,21829.0,2317.6,4.0,7.5,22.175,Retained,Excellent (>4)
C1078,Rohan Patel Group,Media,India,Chennai,12.0,2024-03-09,Organic Search,76.44,8.0,32.0,13.0,12136.0,2280.5,8.0,6.0,25.3875,Retained,Excellent (>4)
C1079,Arun Rao Industries,Education,USA,Austin,150.0,2024-07-30,Organic Search,778.44,8.0,73.0,43.0,8715.0,1308.6,5.0,7.2,22.240000000000002,Retained,Excellent (>4)
C1080,Rohan Sharma Group,Media,India,Bengaluru,35.0,2024-05-05,Partner,310.44,8.0,29.0,14.0,11010.0,1817.1999999999998,2.0,5.5,19.0,Retained,Excellent (>4)
C1081,Ananya Nair Group,Logistics,USA,Austin,12.0,2024-04-01,Outbound,64.68,5.0,21.0,8.0,6779.0,2164.7,3.0,6.666666666666667,47.53333333333333,Retained,Excellent (>4)
C1082,Aadhya Nair Systems,Finance,India,Delhi,35.0,2024-06-06,Paid Ads,294.52,7.0,92.0,41.0,8629.0,1994.1,6.0,4.333333333333333,51.81666666666666,Retained,Excellent (>4)
C1083,Deepak Das Group,Retail,India,Mumbai,1200.0,2024-03-01,Organic Search,80.36,9.0,63.0,31.0,21976.0,2616.3,1.0,5.0,69.2,Retained,Excellent (>4)
C1084,Meera Patel Industries,Finance,Singapore,Singapore,35.0,2025-01-17,Organic Search,294.52,7.0,0.0,0.0,0.0,0.0,5.0,6.6,19.22,Retained,Excellent (>4)
C1085,Aditya Reddy Group,Logistics,Singapore,Singapore,12.0,2023-06-17,Partner,618.76,4.0,109.0,60.0,5745.0,1269.1000000000001,2.0,8.0,6.95,Churned,Excellent (>4)
C1086,Karthik Sharma Systems,Media,USA,Boston,400.0,2023-04-29,Organic Search,818.36,9.0,46.0,21.0,24023.0,5188.8,2.0,2.5,51.25,Retained,Moderate (>2–3)
C1087,Diya Iyer Labs,Retail,India,Mumbai,12.0,2024-11-03,Outbound,60.76,4.0,10.0,6.0,4931.0,369.0,4.0,5.75,51.0,Retained,Excellent (>4)
C1088,Reyansh Das Technologies,Healthcare,UAE,Dubai,12.0,2023-06-30,Events,310.44,8.0,65.0,31.0,25835.0,4372.1,3.0,6.333333333333333,46.4,Retained,Excellent (>4)
C1089,Reyansh Bose Solutions,Manufacturing,UK,London,150.0,2024-05-27,Organic Search,294.52,9.0,22.0,9.0,9825.0,2563.9,4.0,7.5,52.925,Retained,Excellent (>4)
C1090,Aarav Menon Group,Manufacturing,Singapore,Singapore,150.0,2024-10-05,Partner,326.36,9.0,9.0,4.0,2140.0,551.8,3.0,6.333333333333333,30.566666666666666,Churned,Excellent (>4)
C1091,Myra Nair Solutions,Finance,India,Bengaluru,35.0,2024-11-17,Events,618.76,4.0,13.0,6.0,1649.0,739.0999999999999,3.0,1.0,51.166666666666664,Retained,Low (≤2)
C1092,Aman Sharma Solutions,Retail,India,Delhi,150.0,2024-12-05,Organic Search,68.6,6.0,7.0,2.0,3097.0,221.8,2.0,4.5,40.55,Retained,Excellent (>4)
C1093,Aarav Joshi Technologies,Retail,India,Mumbai,400.0,2023-05-28,Organic Search,658.68,5.0,263.0,159.0,32589.0,5688.2,5.0,5.4,22.14,Retained,Excellent (>4)
C1094,Isha Nair Solutions,Retail,USA,Seattle,80.0,2023-03-05,Referral,1858.76,4.0,377.0,206.0,34990.0,5469.5,2.0,5.0,25.799999999999997,Retained,Excellent (>4)
C1095,Aarav Das Industries,Logistics,Singapore,Singapore,400.0,2023-02-13,Partner,72.52,7.0,170.0,92.0,25465.0,5224.7,2.0,2.0,50.900000000000006,Retained,Low (≤2)
C1096,Deepak Gupta Labs,Finance,USA,Boston,150.0,2024-03-07,Organic Search,310.44,8.0,151.0,75.0,14710.0,2549.2,5.0,6.4,22.48,Retained,Excellent (>4)
C1097,Diya Gupta Industries,Logistics,USA,Boston,1200.0,2024-12-24,Paid Ads,68.6,6.0,4.0,2.0,142.0,350.7,5.0,7.0,31.339999999999996,Churned,Excellent (>4)
C1098,Myra Nair Systems,Logistics,UK,London,12.0,2024-04-24,Organic Search,818.36,9.0,78.0,38.0,10967.0,2559.7,3.0,5.0,30.46666666666667,Retained,Excellent (>4)
C1099,Ishaan Patel Group,Logistics,India,Mumbai,1200.0,2023-02-17,Paid Ads,88.2,11.0,69.0,33.0,9438.0,1938.2,3.0,6.333333333333333,6.166666666666667,Churned,Excellent (>4)
C1100,Priya Gupta Solutions,Healthcare,UAE,Abu Dhabi,80.0,2024-07-27,Partner,2098.6,6.0,99.0,50.0,4439.0,1477.6,2.0,4.5,37.6,Retained,Excellent (>4)
C1101,Zoya Bose Industries,Finance,UK,London,400.0,2023-02-24,Outbound,294.52,7.0,166.0,86.0,20407.0,5621.4,2.0,4.0,44.1,Retained,Good (>3–4)
C1102,Deepak Iyer Solutions,Retail,India,Delhi,150.0,2023-03-18,Paid Ads,2218.52,7.0,329.0,181.0,27520.0,5287.599999999999,2.0,6.5,22.400000000000002,Retained,Excellent (>4)
C1103,Pooja Menon Group,Retail,India,Mumbai,1200.0,2023-07-30,Unknown,3057.96,14.0,205.0,127.0,19629.0,4535.4,2.0,5.0,45.45,Retained,Excellent (>4)
C1104,Farhan Iyer Group,Finance,Singapore,Singapore,12.0,2024-10-10,Events,72.52,7.0,14.0,6.0,3179.0,731.8,1.0,2.0,68.5,Retained,Low (≤2)
C1105,Riya Gupta Labs,Media,India,Bengaluru,12.0,2023-01-30,Organic Search,698.6,6.0,218.0,120.0,40850.0,6135.1,2.0,6.5,32.0,Retained,Excellent (>4)
C1106,Ananya Singh Group,Logistics,Singapore,Singapore,80.0,2024-09-29,Referral,199.0,1.0,19.0,11.0,5248.0,1062.8000000000002,3.0,4.333333333333333,21.0,Retained,Excellent (>4)
C1107,Isha Nair Technologies,Retail,India,Pune,3000.0,2023-12-07,Partner,64.68,5.0,131.0,68.0,9557.0,1669.5,4.0,4.75,34.625,Churned,Excellent (>4)
C1108,Saanvi Joshi Systems,Unknown,Singapore,Singapore,150.0,2023-01-14,Paid Ads,68.6,6.0,319.0,195.0,14818.0,5954.4,2.0,8.5,32.05,Retained,Excellent (>4)
C1109,Kiara Verma Industries,Retail,UAE,Dubai,80.0,2023-02-19,Organic Search,262.68,5.0,397.0,218.0,22170.0,5452.4,6.0,6.166666666666667,57.800000000000004,Retained,Excellent (>4)
C1110,Tara Sharma Solutions,Media,UK,Manchester,35.0,2024-07-30,Outbound,294.52,7.0,70.0,37.0,7955.0,1803.8,1.0,7.0,11.2,Retained,Excellent (>4)
C1111,Priya Khan Industries,Unknown,UAE,Abu Dhabi,35.0,2024-06-30,Organic Search,658.68,5.0,97.0,57.0,13354.0,2055.6,6.0,5.166666666666667,35.766666666666666,Retained,Excellent (>4)
C1112,Aarav Singh Labs,Education,UK,London,1200.0,2023-07-25,Partner,72.52,7.0,197.0,115.0,12639.0,2097.6,7.0,6.0,27.97142857142857,Churned,Excellent (>4)
C1113,Riya Iyer Technologies,Healthcare,India,Chennai,12.0,2024-09-12,Outbound,2578.28,10.0,75.0,58.0,5941.0,898.3,5.0,5.0,42.620000000000005,Retained,Excellent (>4)
C1114,Aadhya Das Industries,Manufacturing,USA,Boston,35.0,2024-11-26,Outbound,80.36,9.0,43.0,27.0,7252.0,711.9,2.0,4.5,54.7,Retained,Excellent (>4)
C1115,Rahul Rao Labs,Finance,UAE,Dubai,12.0,2024-09-16,Partner,88.2,11.0,32.0,11.0,4271.0,925.6999999999999,5.0,6.0,39.64,Churned,Excellent (>4)
C1116,Isha Gupta Group,Finance,India,Mumbai,35.0,2024-12-01,Partner,80.36,9.0,3.0,2.0,1626.0,206.0,5.0,5.2,34.059999999999995,Retained,Excellent (>4)
C1117,Arun Gupta Labs,Education,UAE,Abu Dhabi,400.0,2024-01-27,Events,738.52,7.0,21.0,15.0,1511.0,839.0999999999999,3.0,4.666666666666667,27.03333333333333,Churned,Excellent (>4)
C1118,Ishaan Reddy Group,Education,UAE,Abu Dhabi,400.0,2024-07-17,Events,278.6,6.0,25.0,9.0,2732.0,1294.8,1.0,2.0,27.8,Retained,Low (≤2)
C1119,Deepak Verma Systems,Logistics,India,Bengaluru,80.0,2023-07-29,Referral,72.52,7.0,143.0,78.0,31571.0,4465.8,3.0,7.333333333333333,44.76666666666667,Retained,Excellent (>4)
C1120,Pooja Rao Solutions,Manufacturing,UAE,Abu Dhabi,80.0,2024-06-20,Outbound,310.44,8.0,53.0,31.0,6893.0,2091.4,2.0,5.0,52.349999999999994,Retained,Excellent (>4)
C1121,Ishaan Singh Group,Logistics,India,Mumbai,1200.0,2023-04-13,Events,1858.76,4.0,361.0,190.0,16589.0,5596.4,3.0,6.0,32.800000000000004,Retained,Excellent (>4)
C1122,Aarav Gupta Technologies,Logistics,India,Bengaluru,12.0,2024-04-06,Referral,310.44,8.0,51.0,26.0,11495.0,1316.7,3.0,5.0,33.86666666666667,Churned,Excellent (>4)
C1123,Vihaan Joshi Solutions,Manufacturing,India,Mumbai,400.0,2024-05-09,Outbound,92.12,12.0,103.0,64.0,8648.0,2245.8,5.0,5.0,31.339999999999996,Retained,Excellent (>4)
C1124,Krishna Sharma Systems,Manufacturing,UK,Manchester,150.0,2024-08-09,Partner,278.6,6.0,27.0,16.0,5295.0,1553.3,1.0,6.0,4.9,Retained,Excellent (>4)
C1125,Kiara Verma Systems,Media,UK,London,12.0,2023-06-17,Referral,88.2,11.0,171.0,97.0,12809.0,1938.2,5.0,5.6,55.94000000000001,Churned,Excellent (>4)
C1126,Sneha Iyer Group,Retail,India,Chennai,35.0,2023-10-11,Outbound,96.04,13.0,198.0,131.0,18920.0,4027.4,4.0,5.25,29.05,Retained,Excellent (>4)
C1127,Divya Gupta Labs,Education,UAE,Abu Dhabi,35.0,2024-03-16,Partner,278.6,6.0,173.0,91.0,17903.0,2411.2,6.0,4.166666666666667,39.733333333333334,Retained,Excellent (>4)
C1128,Sneha Rao Industries,Finance,India,Mumbai,400.0,2023-09-29,Organic Search,88.2,11.0,325.0,187.0,29390.0,3862.2,2.0,6.5,37.0,Retained,Excellent (>4)
C1129,Farhan Reddy Labs,Manufacturing,India,Mumbai,3000.0,2024-05-26,Referral,858.28,10.0,57.0,32.0,3842.0,1717.3,3.0,6.333333333333333,35.666666666666664,Churned,Excellent (>4)
C1130,Nikita Iyer Technologies,Media,UAE,Dubai,150.0,2024-03-26,Unknown,80.36,9.0,181.0,108.0,18465.0,2618.8,3.0,8.333333333333334,18.866666666666664,Retained,Excellent (>4)
C1131,Aditya Menon Industries,Manufacturing,UAE,Abu Dhabi,80.0,2023-05-05,Organic Search,525.36,10.0,129.0,65.0,23099.0,4145.5,4.0,4.75,39.4,Churned,Excellent (>4)
C1132,Sneha Khan Solutions,Finance,Singapore,Singapore,35.0,2023-12-07,Organic Search,775.04,14.0,37.0,14.0,9322.0,2167.1,0.0,,,Churned,
C1133,Divya Nair Solutions,Retail,India,Pune,12.0,2025-01-25,Events,80.36,9.0,0.0,0.0,0.0,0.0,1.0,8.0,32.4,Retained,Excellent (>4)
C1134,Tara Reddy Industries,Healthcare,India,Delhi,35.0,2023-01-30,Referral,56.84,3.0,453.0,232.0,31979.0,5905.8,6.0,5.666666666666667,40.15,Retained,Excellent (>4)
C1135,Nikita Menon Solutions,Education,India,Hyderabad,35.0,2023-11-21,Organic Search,246.76,4.0,159.0,95.0,18102.0,3275.8,3.0,4.666666666666667,62.9,Retained,Excellent (>4)
C1136,Deepak Bose Group,Media,UAE,Dubai,35.0,2024-04-04,Paid Ads,294.52,7.0,47.0,25.0,12966.0,2207.4,0.0,,,Retained,
C1137,Arun Verma Labs,Finance,India,Pune,80.0,2023-08-09,Partner,342.28,10.0,110.0,62.0,8261.0,1366.6,6.0,5.5,30.616666666666664,Churned,Excellent (>4)
C1138,Meera Sharma Labs,Retail,India,Bengaluru,35.0,2024-10-27,Outbound,84.28,10.0,50.0,25.0,3912.0,601.3000000000001,5.0,5.0,26.080000000000002,Retained,Excellent (>4)
C1139,Arjun Menon Group,Logistics,India,Delhi,12.0,2023-07-17,Referral,68.6,6.0,211.0,108.0,33461.0,4953.2,4.0,5.25,49.300000000000004,Retained,Excellent (>4)
C1140,Aarav Nair Systems,Retail,India,Chennai,12.0,2024-07-15,Paid Ads,278.6,6.0,36.0,15.0,1991.0,781.7,7.0,5.285714285714286,46.228571428571435,Churned,Excellent (>4)
