CustomerID,CompanyName,Industry,Country,City,EmployeeCount,SignupDate,AcquisitionChannel,Total_MRR,Average_MRR,Total_Seats,Subscription_Count,Total_Logins,Average_ActiveUsers,Total_APICalls,Total_SessionMinutes,Usage_Records,Ticket_Count,Average_ResolutionHours,Average_Satisfaction,Tenure_Months,Revenue_Per_Seat,Tickets_Per_Month,Usage_Trend,MRR_Outlier,Seats_Outlier,Login_Outlier,Tickets_Outlier
C1013,Farhan Das Industries,Retail,UK,London,12.0,2024-12-10,Organic Search,1931.28,965.64,11.0,2,0.0,0.0,71.0,242.1,1.0,1.0,71.1,6.0,16.72,175.57090909090908,0.059808612440191394,Stable,True,False,False,False
C1014,Rahul Patel Industries,Media,India,Chennai,1200.0,2024-07-10,Partner,68.6,68.6,6.0,1,37.0,3.6666666666666665,9530.0,1674.5,6.0,2.0,37.05,6.0,21.75,11.433333333333332,0.09195402298850575,Increasing,False,False,False,False
C1015,Sanjay Gupta Industries,Finance,India,Mumbai,35.0,2024-01-15,Partner,246.76,246.76,4.0,1,61.0,2.8333333333333335,15818.0,3158.3,12.0,3.0,46.800000000000004,5.0,27.56,61.69,0.1088534107402032,Increasing,False,False,False,False
C1016,Diya Singh Industries,Media,UK,Manchester,35.0,2024-01-16,Paid Ads,978.04,978.04,13.0,1,38.0,1.25,6672.0,1720.7,12.0,4.0,38.9,6.5,27.53,75.23384615384614,0.1452960406828914,Increasing,False,False,False,False
C1017,Rahul Reddy Solutions,Unknown,USA,Seattle,12.0,2024-06-05,Paid Ads,60.76,60.76,4.0,1,24.0,1.8571428571428572,2822.0,1829.2,7.0,3.0,50.166666666666664,4.0,22.9,15.19,0.13100436681222707,Increasing,False,False,False,False
C1018,Myra Khan Systems,Finance,USA,Boston,150.0,2024-03-06,Referral,2098.6,2098.6,6.0,1,87.0,5.3,7947.0,2759.6,10.0,6.0,33.166666666666664,4.333333333333333,25.89,349.76666666666665,0.2317497103128621,Increasing,True,False,False,False
C1019,Deepak Nair Labs,Finance,Singapore,Singapore,150.0,2024-04-30,Outbound,326.36,326.36,9.0,1,149.0,8.11111111111111,8711.0,2472.2999999999997,9.0,2.0,28.05,5.5,24.08,36.26222222222222,0.08305647840531562,Increasing,False,False,False,False
C1020,Saanvi Menon Group,Retail,India,Chennai,400.0,2023-12-04,Referral,68.6,68.6,6.0,1,55.0,4.714285714285714,4663.0,1145.0,7.0,5.0,37.7,5.8,28.94,11.433333333333332,0.17277125086385625,Decreasing,False,False,False,False
C1021,Vivaan Singh Systems,Finance,USA,Seattle,35.0,2023-05-14,Organic Search,76.44,76.44,8.0,1,264.0,7.4,22493.0,4930.3,20.0,4.0,38.625,4.75,35.64,9.555,0.1122334455667789,Decreasing,False,False,False,False
C1022,Rahul Singh Technologies,Retail,USA,Boston,400.0,2023-09-26,Organic Search,64.68,64.68,5.0,1,44.0,1.0625,22354.0,3823.9,16.0,8.0,46.9625,6.125,31.21,12.936000000000002,0.25632809996795897,Decreasing,False,False,False,True
C1023,Meera Menon Industries,Media,USA,Boston,35.0,2024-08-02,Referral,778.44,778.44,8.0,1,14.0,0.8,7528.0,1362.1,5.0,5.0,39.28,5.8,20.99,97.305,0.23820867079561697,Increasing,False,False,False,False
C1024,Vivaan Verma Solutions,Retail,India,Bengaluru,12.0,2024-10-17,Paid Ads,246.76,246.76,4.0,1,47.0,7.333333333333333,1144.0,770.4000000000001,3.0,2.0,58.55,5.5,18.5,61.69,0.10810810810810811,Increasing,False,False,False,False
C1025,Diya Singh Labs,Manufacturing,USA,Seattle,1200.0,2023-04-22,Outbound,262.68,262.68,5.0,1,70.0,1.619047619047619,33541.0,5612.8,21.0,4.0,40.825,4.5,36.37,52.536,0.10998075336816059,Decreasing,False,False,False,False
C1026,Vivaan Singh Solutions,Manufacturing,India,Mumbai,12.0,2024-05-04,Organic Search,698.6,698.6,6.0,1,62.0,4.375,6120.0,1204.1,8.0,1.0,52.7,4.0,23.95,116.43333333333334,0.04175365344467641,Increasing,False,False,False,False
C1027,Vihaan Bose Group,Manufacturing,India,Bengaluru,3000.0,2023-05-06,Paid Ads,778.44,778.44,8.0,1,18.0,1.6666666666666667,2758.0,918.7,6.0,2.0,25.0,7.0,35.91,97.305,0.055694792536897804,Decreasing,False,False,False,False
C1028,Ananya Gupta Solutions,Manufacturing,India,Chennai,3000.0,2023-06-06,Partner,294.52,294.52,7.0,1,206.0,6.473684210526316,14811.0,3007.7,19.0,4.0,27.25,5.0,34.89,42.074285714285715,0.11464603038119806,Decreasing,False,False,False,False
C1029,Sai Khan Technologies,Manufacturing,India,Pune,3000.0,2024-01-20,Referral,698.6,698.6,6.0,1,81.0,2.9166666666666665,14593.0,3177.8,12.0,6.0,26.333333333333332,6.333333333333333,27.4,116.43333333333334,0.21897810218978103,Increasing,False,False,False,False
C1030,Rohan Bose Solutions,Finance,India,Delhi,1200.0,2023-04-24,Referral,2458.36,2458.36,9.0,1,396.0,11.0,16297.0,5676.0,21.0,2.0,37.099999999999994,6.0,36.3,273.1511111111111,0.05509641873278237,Decreasing,True,False,True,False
C1031,Isha Khan Technologies,Logistics,India,Bengaluru,400.0,2025-01-26,Organic Search,294.52,294.52,7.0,1,0.0,0.0,0.0,0.0,0.0,3.0,44.79999999999999,6.666666666666667,15.18,42.074285714285715,0.1976284584980237,No Usage Data,False,False,False,False
C1032,Naveen Menon Industries,Retail,India,Pune,1200.0,2025-01-09,Events,60.76,60.76,4.0,1,0.0,0.0,0.0,0.0,0.0,5.0,48.54,4.0,15.74,15.19,0.3176620076238882,No Usage Data,False,False,False,False
C1033,Arun Sharma Industries,Logistics,India,Delhi,35.0,2023-11-30,Paid Ads,342.28,342.28,10.0,1,146.0,6.642857142857143,18744.0,3730.3,14.0,5.0,54.220000000000006,5.4,29.07,34.227999999999994,0.1719986240110079,Decreasing,False,False,False,False
C1034,Sneha Rao Industries,Healthcare,India,Bengaluru,12.0,2025-01-26,Events,2578.28,2578.28,10.0,1,0.0,0.0,0.0,0.0,0.0,3.0,37.53333333333334,4.666666666666667,15.18,257.82800000000003,0.1976284584980237,No Usage Data,True,False,False,False
C1035,Arjun Gupta Industries,Unknown,Singapore,Singapore,80.0,2023-06-21,Outbound,1978.68,1978.68,5.0,1,171.0,5.105263157894737,28076.0,5400.6,19.0,7.0,35.285714285714285,5.571428571428571,34.4,395.736,0.20348837209302326,Decreasing,True,False,False,False
C1036,Krishna Sharma Solutions,Retail,India,Mumbai,1200.0,2023-08-24,Organic Search,80.36,80.36,9.0,1,168.0,6.0,31827.0,3956.6,17.0,6.0,32.26666666666667,5.833333333333333,32.29,8.928888888888888,0.18581604211830288,Decreasing,False,False,False,False
C1037,Diya Das Industries,Education,UAE,Abu Dhabi,150.0,2024-02-26,Partner,1978.68,1978.68,5.0,1,42.0,2.090909090909091,6623.0,1911.7,11.0,3.0,50.06666666666667,5.666666666666667,26.18,395.736,0.1145912910618793,Increasing,True,False,False,False
C1038,Sneha Menon Industries,Logistics,India,Hyderabad,35.0,2023-05-06,Outbound,246.76,246.76,4.0,1,71.0,2.7142857142857144,9156.0,1877.9,14.0,4.0,49.275,4.25,35.91,61.69,0.11138958507379561,Decreasing,False,False,False,False
C1039,Arjun Iyer Systems,Logistics,India,Chennai,12.0,2023-03-23,Referral,76.44,76.44,8.0,1,83.0,1.9090909090909092,27844.0,5371.4,22.0,2.0,11.65,6.5,37.35,9.555,0.0535475234270415,Decreasing,False,False,False,False
C1040,Reyansh Nair Labs,Retail,UK,London,12.0,2024-02-13,Paid Ads,326.36,326.36,9.0,1,92.0,4.545454545454546,17865.0,2545.6,11.0,4.0,42.3,5.75,26.61,36.26222222222222,0.1503194287861706,Increasing,False,False,False,False
C1041,Sanjay Khan Systems,Manufacturing,India,Pune,12.0,2023-12-30,Outbound,437.8,437.8,16.0,1,111.0,4.3076923076923075,17426.0,3163.5,13.0,2.0,34.5,5.5,28.09,27.3625,0.0711997152011392,Decreasing,False,True,False,False
C1042,Meera Iyer Industries,Finance,UK,London,35.0,2023-05-12,Paid Ads,60.76,60.76,4.0,1,311.0,9.15,33162.0,5197.9,20.0,3.0,23.7,6.0,35.71,15.19,0.08401008120974517,Decreasing,False,False,False,False
C1043,Aadhya Khan Systems,Manufacturing,USA,Seattle,35.0,2023-07-25,Paid Ads,698.6,698.6,6.0,1,173.0,5.5,13399.0,3300.2,18.0,2.0,16.1,4.0,33.28,116.43333333333334,0.06009615384615384,Decreasing,False,False,False,False
C1044,Krishna Bose Solutions,Retail,USA,Austin,400.0,2024-07-08,Paid Ads,246.76,246.76,4.0,1,78.0,6.833333333333333,4675.0,1085.2,6.0,3.0,19.233333333333334,5.0,21.81,61.69,0.13755158184319122,Increasing,False,False,False,False
C1045,Kavya Verma Solutions,Retail,USA,Austin,12.0,2024-06-10,Paid Ads,2578.28,2578.28,10.0,1,61.0,4.285714285714286,14787.0,1688.4,7.0,5.0,30.420000000000005,6.4,22.73,257.82800000000003,0.21997360316761988,Increasing,True,False,False,False
C1046,Tara Patel Industries,Retail,India,Chennai,12.0,2023-09-04,Organic Search,294.52,294.52,3.0,1,35.0,0.625,12343.0,2652.6,16.0,6.0,46.65,5.833333333333333,31.93,98.17333333333333,0.18791105543376135,Decreasing,False,False,False,False
C1047,Rohan Das Technologies,Media,India,Hyderabad,150.0,2024-06-01,Paid Ads,80.36,80.36,9.0,1,140.0,10.285714285714286,7995.0,1636.1999999999998,7.0,1.0,32.6,5.0,23.03,8.928888888888888,0.04342162396873643,Increasing,False,False,False,False
C1048,Aman Singh Labs,Finance,India,Mumbai,80.0,2023-07-25,Paid Ads,658.68,658.68,5.0,1,62.0,1.6111111111111112,28335.0,3478.9,18.0,3.0,27.7,5.0,33.28,131.736,0.09014423076923077,Decreasing,False,False,False,False
C1049,Farhan Gupta Labs,Education,USA,Boston,12.0,2024-10-06,Organic Search,4676.88,2338.44,16.0,2,32.0,6.0,5258.0,685.9000000000001,3.0,7.0,19.37142857142857,6.714285714285714,18.86,292.305,0.3711558854718982,Increasing,True,True,False,False
C1050,Arun Khan Solutions,Retail,UAE,Abu Dhabi,150.0,2023-07-09,Organic Search,1825.3600000000001,912.6800000000001,10.0,2,101.0,4.636363636363637,7638.0,2242.5,11.0,3.0,20.6,6.0,33.8,182.536,0.08875739644970415,Decreasing,True,False,False,False
C1051,Priya Gupta Labs,Manufacturing,Singapore,Singapore,400.0,2024-08-01,Partner,262.68,262.68,5.0,1,92.0,10.4,4768.0,1286.3,5.0,5.0,29.540000000000003,7.2,21.02,52.536,0.23786869647954328,Increasing,False,False,False,False
C1052,Aadhya Reddy Labs,Finance,USA,Austin,150.0,2024-05-10,Organic Search,390.04,390.04,13.0,1,92.0,7.375,10723.0,2131.9,8.0,4.0,31.1,5.25,23.75,30.003076923076925,0.16842105263157894,Increasing,False,False,False,False
C1053,Sanjay Joshi Group,Finance,UK,London,1200.0,2023-05-25,Partner,310.44,310.44,8.0,1,84.0,2.8666666666666667,8093.0,2017.3999999999999,15.0,2.0,41.15,6.5,35.28,38.805,0.056689342403628114,Decreasing,False,False,False,False
C1054,Arjun Bose Group,Manufacturing,India,Chennai,80.0,2024-11-14,Paid Ads,818.36,818.36,9.0,1,14.0,4.5,4910.0,824.9,2.0,3.0,40.5,5.333333333333333,17.58,90.92888888888889,0.17064846416382254,Increasing,False,False,False,False
C1055,Arun Rao Technologies,Education,UK,Manchester,12.0,2023-03-25,Referral,68.6,68.6,6.0,1,134.0,3.5555555555555554,20493.0,2621.9,18.0,3.0,28.366666666666664,6.0,37.29,11.433333333333332,0.08045052292839903,Decreasing,False,False,False,False
C1056,Kavya Rao Systems,Healthcare,India,Pune,80.0,2024-07-30,Events,658.68,658.68,5.0,1,14.0,1.0,14097.0,1681.6999999999998,6.0,4.0,36.875,4.5,21.09,131.736,0.1896633475580844,Increasing,False,False,False,False
C1057,Reyansh Joshi Industries,Media,India,Delhi,1200.0,2023-11-12,Referral,76.44,76.44,8.0,1,260.0,9.714285714285714,14388.0,3077.1,14.0,1.0,2.8,9.0,29.66,9.555,0.033715441672285906,Increasing,False,False,False,False
C1058,Riya Das Labs,Healthcare,India,Chennai,12.0,2024-08-27,Referral,64.68,64.68,5.0,1,45.0,4.6,4003.0,724.0,5.0,1.0,4.0,9.0,20.17,12.936000000000002,0.04957858205255329,Increasing,False,False,False,False
C1059,Myra Verma Labs,Media,Singapore,Singapore,80.0,2024-07-16,Organic Search,658.68,658.68,5.0,1,113.0,11.833333333333334,4999.0,1587.3,6.0,2.0,24.700000000000003,6.5,21.55,131.736,0.09280742459396751,Increasing,False,False,False,False
C1060,Aarav Reddy Systems,Media,UK,London,150.0,2023-07-09,Organic Search,80.36,80.36,9.0,1,385.0,12.444444444444445,31791.0,4374.7,18.0,2.0,57.1,5.5,33.8,8.928888888888888,0.0591715976331361,Decreasing,False,False,True,False
C1061,Isha Gupta Group,Finance,USA,Boston,150.0,2023-06-02,Paid Ads,310.44,310.44,8.0,1,266.0,8.31578947368421,16514.0,5155.2,19.0,2.0,37.45,6.5,35.02,38.805,0.05711022272986864,Decreasing,False,False,False,False
C1062,Kavya Das Solutions,Manufacturing,India,Mumbai,3000.0,2023-06-02,Paid Ads,358.2,358.2,11.0,1,6.0,0.6666666666666666,2946.0,438.0,3.0,2.0,42.9,5.0,35.02,32.56363636363636,0.05711022272986864,Decreasing,False,False,False,False
C1063,Rahul Menon Systems,Logistics,USA,Austin,12.0,2023-06-09,Events,56.84,56.84,3.0,1,52.0,2.5,12377.0,1460.6,10.0,4.0,43.95,4.75,34.79,18.94666666666667,0.11497556769186548,Decreasing,False,False,False,False
C1064,Riya Sharma Technologies,Logistics,India,Chennai,35.0,2024-03-21,Paid Ads,68.6,68.6,6.0,1,88.0,3.9,16026.0,2546.0,10.0,1.0,22.1,8.0,25.39,11.433333333333332,0.03938558487593541,Increasing,False,False,False,False
C1065,Priya Verma Systems,Education,India,Chennai,3000.0,2023-10-25,Organic Search,898.2,898.2,11.0,1,90.0,3.1333333333333333,19830.0,4097.7,15.0,4.0,32.825,6.25,30.26,81.65454545454546,0.13218770654329146,Decreasing,False,False,False,False
C1066,Ishaan Reddy Solutions,Education,UK,Manchester,80.0,2024-07-18,Organic Search,88.2,88.2,11.0,1,32.0,2.6666666666666665,8966.0,1407.7,6.0,3.0,46.63333333333333,3.3333333333333335,21.48,8.018181818181818,0.13966480446927373,Increasing,False,False,False,False
C1067,Tara Khan Group,Logistics,India,Delhi,80.0,2024-02-10,Partner,326.36,326.36,9.0,1,139.0,7.545454545454546,23539.0,2360.9,11.0,6.0,48.083333333333336,5.833333333333333,26.71,36.26222222222222,0.22463496817671283,Increasing,False,False,False,False
C1068,Ananya Gupta Industries,Healthcare,USA,Seattle,150.0,2024-11-04,Organic Search,262.68,262.68,5.0,1,5.0,0.5,1291.0,625.5999999999999,2.0,2.0,50.6,5.5,17.9,52.536,0.111731843575419,Increasing,False,False,False,False
C1069,Aadhya Joshi Systems,Logistics,India,Hyderabad,35.0,2023-08-15,Partner,80.36,80.36,9.0,1,262.0,8.294117647058824,17132.0,4548.9,17.0,2.0,9.05,7.5,32.59,8.928888888888888,0.061368517950291496,Decreasing,False,False,False,False
C1070,Kiara Das Solutions,Manufacturing,UK,Manchester,35.0,2025-01-25,Organic Search,64.68,64.68,5.0,1,0.0,0.0,0.0,0.0,0.0,3.0,11.933333333333332,7.0,15.21,12.936000000000002,0.1972386587771203,No Usage Data,False,False,False,False
C1071,Arjun Patel Labs,Education,USA,Austin,35.0,2024-09-11,Organic Search,326.36,326.36,9.0,1,82.0,10.25,7361.0,969.3,4.0,4.0,38.45,6.0,19.68,36.26222222222222,0.2032520325203252,Increasing,False,False,False,False
C1072,Rohan Gupta Technologies,Media,India,Pune,400.0,2023-04-22,Paid Ads,278.6,278.6,6.0,1,368.0,10.047619047619047,45924.0,4879.2,21.0,8.0,38.4875,5.75,36.37,46.43333333333334,0.21996150673632117,Decreasing,False,False,True,True
C1073,Vivaan Menon Group,Logistics,UK,London,80.0,2023-08-20,Partner,84.28,84.28,10.0,1,150.0,5.0588235294117645,29996.0,4698.9,17.0,4.0,47.4,3.25,32.42,8.428,0.12338062924120913,Decreasing,False,False,False,False
C1074,Priya Khan Group,Finance,UK,London,1200.0,2024-10-11,Referral,294.52,294.52,7.0,1,22.0,4.0,3339.0,647.0,3.0,5.0,44.6,4.4,18.69,42.074285714285715,0.26752273943285176,Increasing,False,False,False,False
C1075,Ishaan Khan Industries,Healthcare,India,Pune,35.0,2024-05-01,Organic Search,738.52,738.52,7.0,1,39.0,2.75,12737.0,2030.6,8.0,5.0,26.360000000000003,6.6,24.05,105.50285714285714,0.20790020790020788,Increasing,False,False,False,False
C1076,Arun Khan Labs,Education,India,Chennai,400.0,2024-05-26,Organic Search,2542.6400000000003,1271.3200000000002,19.0,2,97.0,5.75,3740.0,1196.6,8.0,3.0,45.56666666666666,4.0,23.23,133.82315789473685,0.12914334911752046,Increasing,True,True,False,False
C1077,Krishna Nair Industries,Retail,USA,Austin,1200.0,2024-03-10,Paid Ads,80.36,80.36,9.0,1,64.0,3.5,21829.0,2317.6,10.0,4.0,22.175,7.5,25.76,8.928888888888888,0.15527950310559005,Increasing,False,False,False,False
C1078,Rohan Patel Group,Media,India,Chennai,12.0,2024-03-09,Organic Search,76.44,76.44,8.0,1,32.0,1.3,12136.0,2280.5,10.0,8.0,25.3875,6.0,25.79,9.555,0.31019775106630476,Increasing,False,False,False,True
C1079,Arun Rao Industries,Education,USA,Austin,150.0,2024-07-30,Organic Search,778.44,778.44,8.0,1,73.0,7.166666666666667,8715.0,1308.6,6.0,5.0,22.240000000000002,7.2,21.09,97.305,0.2370791844476055,Increasing,False,False,False,False
C1080,Rohan Sharma Group,Media,India,Bengaluru,35.0,2024-05-05,Partner,310.44,310.44,8.0,1,29.0,1.75,11010.0,1817.1999999999998,8.0,2.0,19.0,5.5,23.92,38.805,0.08361204013377926,Increasing,False,False,False,False
C1081,Ananya Nair Group,Logistics,USA,Austin,12.0,2024-04-01,Outbound,64.68,64.68,5.0,1,21.0,0.8888888888888888,6779.0,2164.7,9.0,3.0,47.53333333333333,6.666666666666667,25.03,12.936000000000002,0.11985617259288853,Increasing,False,False,False,False
C1082,Aadhya Nair Systems,Finance,India,Delhi,35.0,2024-06-06,Paid Ads,294.52,294.52,7.0,1,92.0,5.857142857142857,8629.0,1994.1,7.0,6.0,51.81666666666666,4.333333333333333,22.86,42.074285714285715,0.26246719160104987,Increasing,False,False,False,False
C1083,Deepak Das Group,Retail,India,Mumbai,1200.0,2024-03-01,Organic Search,80.36,80.36,9.0,1,63.0,3.1,21976.0,2616.3,10.0,1.0,69.2,5.0,26.05,8.928888888888888,0.03838771593090211,Increasing,False,False,False,False
C1084,Meera Patel Industries,Finance,Singapore,Singapore,35.0,2025-01-17,Organic Search,294.52,294.52,7.0,1,0.0,0.0,0.0,0.0,0.0,5.0,19.22,6.6,15.47,42.074285714285715,0.3232062055591467,No Usage Data,False,False,False,False
C1085,Aditya Reddy Group,Logistics,Singapore,Singapore,12.0,2023-06-17,Partner,618.76,618.76,4.0,1,109.0,7.5,5745.0,1269.1000000000001,8.0,2.0,6.95,8.0,34.53,154.69,0.057920648711265565,Decreasing,False,False,False,False
C1086,Karthik Sharma Systems,Media,USA,Boston,400.0,2023-04-29,Organic Search,818.36,818.36,9.0,1,46.0,1.0,24023.0,5188.8,21.0,2.0,51.25,2.5,36.14,90.92888888888889,0.05534034311012728,Decreasing,False,False,False,False
C1087,Diya Iyer Labs,Retail,India,Mumbai,12.0,2024-11-03,Outbound,60.76,60.76,4.0,1,10.0,3.0,4931.0,369.0,2.0,4.0,51.0,5.75,17.94,15.19,0.22296544035674468,Increasing,False,False,False,False
C1088,Reyansh Das Technologies,Healthcare,UAE,Dubai,12.0,2023-06-30,Events,310.44,310.44,8.0,1,65.0,1.631578947368421,25835.0,4372.1,19.0,3.0,46.4,6.333333333333333,34.1,38.805,0.0879765395894428,Decreasing,False,False,False,False
C1089,Reyansh Bose Solutions,Manufacturing,UK,London,150.0,2024-05-27,Organic Search,294.52,294.52,9.0,1,22.0,1.125,9825.0,2563.9,8.0,4.0,52.925,7.5,23.19,32.724444444444444,0.17248814144027597,Increasing,False,False,False,False
C1090,Aarav Menon Group,Manufacturing,Singapore,Singapore,150.0,2024-10-05,Partner,326.36,326.36,9.0,1,9.0,1.3333333333333333,2140.0,551.8,3.0,3.0,30.566666666666666,6.333333333333333,18.89,36.26222222222222,0.15881418740074113,Increasing,False,False,False,False
C1091,Myra Nair Solutions,Finance,India,Bengaluru,35.0,2024-11-17,Events,618.76,618.76,4.0,1,13.0,3.0,1649.0,739.0999999999999,2.0,3.0,51.166666666666664,1.0,17.48,154.69,0.17162471395881007,Increasing,False,False,False,False
C1092,Aman Sharma Solutions,Retail,India,Delhi,150.0,2024-12-05,Organic Search,68.6,68.6,6.0,1,7.0,2.0,3097.0,221.8,1.0,2.0,40.55,4.5,16.89,11.433333333333332,0.11841326228537596,Increasing,False,False,False,False
C1093,Aarav Joshi Technologies,Retail,India,Mumbai,400.0,2023-05-28,Organic Search,658.68,658.68,5.0,1,263.0,7.95,32589.0,5688.2,20.0,5.0,22.14,5.4,35.18,131.736,0.14212620807276863,Decreasing,False,False,False,False
C1094,Isha Nair Solutions,Retail,USA,Seattle,80.0,2023-03-05,Referral,1858.76,1858.76,4.0,1,377.0,9.363636363636363,34990.0,5469.5,22.0,2.0,25.799999999999997,5.0,37.94,464.69,0.05271481286241434,Decreasing,True,False,True,False
C1095,Aarav Das Industries,Logistics,Singapore,Singapore,400.0,2023-02-13,Partner,72.52,72.52,7.0,1,170.0,4.0,25465.0,5224.7,23.0,2.0,50.900000000000006,2.0,38.6,10.36,0.05181347150259067,Decreasing,False,False,False,False
C1096,Deepak Gupta Labs,Finance,USA,Boston,150.0,2024-03-07,Organic Search,310.44,310.44,8.0,1,151.0,7.5,14710.0,2549.2,10.0,5.0,22.48,6.4,25.85,38.805,0.19342359767891681,Increasing,False,False,False,False
C1097,Diya Gupta Industries,Logistics,USA,Boston,1200.0,2024-12-24,Paid Ads,68.6,68.6,6.0,1,4.0,2.0,142.0,350.7,1.0,5.0,31.339999999999996,7.0,16.26,11.433333333333332,0.30750307503075025,Increasing,False,False,False,False
C1098,Myra Nair Systems,Logistics,UK,London,12.0,2024-04-24,Organic Search,818.36,818.36,9.0,1,78.0,4.222222222222222,10967.0,2559.7,9.0,3.0,30.46666666666667,5.0,24.28,90.92888888888889,0.12355848434925865,Increasing,False,False,False,False
C1099,Ishaan Patel Group,Logistics,India,Mumbai,1200.0,2023-02-17,Paid Ads,88.2,88.2,11.0,1,69.0,2.5384615384615383,9438.0,1938.2,13.0,3.0,6.166666666666667,6.333333333333333,38.47,8.018181818181818,0.07798284377436965,Decreasing,False,False,False,False
C1100,Priya Gupta Solutions,Healthcare,UAE,Abu Dhabi,80.0,2024-07-27,Partner,2098.6,2098.6,6.0,1,99.0,8.333333333333334,4439.0,1477.6,6.0,2.0,37.6,4.5,21.19,349.76666666666665,0.09438414346389806,Increasing,True,False,False,False
C1101,Zoya Bose Industries,Finance,UK,London,400.0,2023-02-24,Outbound,294.52,294.52,7.0,1,166.0,3.739130434782609,20407.0,5621.4,23.0,2.0,44.1,4.0,38.24,42.074285714285715,0.05230125523012552,Decreasing,False,False,False,False
C1102,Deepak Iyer Solutions,Retail,India,Delhi,150.0,2023-03-18,Paid Ads,2218.52,2218.52,7.0,1,329.0,8.227272727272727,27520.0,5287.599999999999,22.0,2.0,22.400000000000002,6.5,37.52,316.93142857142857,0.053304904051172705,Decreasing,True,False,False,False
C1103,Pooja Menon Group,Retail,India,Mumbai,1200.0,2023-07-30,Unknown,3057.96,3057.96,14.0,1,205.0,7.055555555555555,19629.0,4535.4,18.0,2.0,45.45,5.0,33.11,218.4257142857143,0.06040471156750227,Decreasing,True,False,False,False
C1104,Farhan Iyer Group,Finance,Singapore,Singapore,12.0,2024-10-10,Events,72.52,72.52,7.0,1,14.0,2.0,3179.0,731.8,3.0,1.0,68.5,2.0,18.73,10.36,0.05339028296849973,Increasing,False,False,False,False
